c_name,c_custkey,o_orderkey,o_orderdate,o_totalprice,sum_qty
Customer#000385072,385072,23156453,1992-07-18,378894.05,305.00
Customer#001239323,1239323,52458145,1996-08-30,378787.18,302.00
Customer#000153590,153590,43579589,1997-06-04,377356.96,303.00
Customer#001056197,1056197,33799394,1998-02-06,376553.91,308.00
Customer#001327135,1327135,8612032,1992-04-05,375995.26,305.00
Customer#001082327,1082327,8551335,1995-08-01,374168.73,309.00
Customer#001165735,1165735,51967460,1992-12-12,367207.10,302.00
Customer#001046900,1046900,341155,1993-01-08,364151.90,309.00
Customer#001495162,1495162,56751013,1996-12-29,360243.05,303.00
Customer#001240373,1240373,52720933,1992-06-13,359841.05,308.00
Customer#001207483,1207483,46227972,1992-04-19,303661.61,302.00
