name,stmt,tag,plabel,total_value,cnt
VALERO ENERGY CORP/TX,IS,RevenueFromContractWithCustomerIncludingAssessedTax,Revenues,4471802000000.00,238
MICROSOFT CORP,IS,RevenueFromContractWithCustomerExcludingAssessedTax,Revenue,4411780000000.00,180
CATERPILLAR INC,IS,Revenues,Total sales and revenues,4171250000000.00,691
HUMANA INC,IS,PremiumsEarnedNet,Premiums,4045589000000.00,308
JOHNSON & JOHNSON,IS,RevenueFromContractWithCustomerExcludingAssessedTax,Sales to customers,3973266000000.00,1150
WALT DISNEY CO,IS,Revenues,Revenues,3965372000000.00,365
COMCAST CORP,IS,Revenues,Revenue,3758118000000.00,383
BERKSHIRE HATHAWAY INC,IS,CostsAndExpenses,Total costs and expenses,3683235000000.00,36
WALMART INC.,IS,Revenues,Total revenues,3664336000000.00,9
"WALGREENS BOOTS ALLIANCE, INC.",IS,RevenueFromContractWithCustomerExcludingAssessedTax,Sales,3468047000000.00,90
"ELEVANCE HEALTH, INC.",IS,PremiumsEarnedNet,Premiums,3391110000000.00,146
"AMERICAN INTERNATIONAL GROUP, INC.",IS,PremiumsEarnedNet,Premiums,3390347000000.00,38
"HANRYU HOLDINGS, INC.",IS,GainOrLossOnSaleOfStockInSubsidiary,"Gain on disposal of subsidiary, net",3390329780646.00,3
"ELEVANCE HEALTH, INC.",IS,OperatingRevenue,Total operating revenue,3339118000000.00,133
APPLE INC,IS,RevenueFromContractWithCustomerExcludingAssessedTax,Net sales,3303684000000.00,72
"MERCK & CO., INC.",IS,Revenues,Sales,3241373000000.00,1239
FORD MOTOR CO,IS,RevenueFromContractWithCustomerExcludingAssessedTax,Total revenues (Note 4),3234841000000.00,99
UNITED PARCEL SERVICE INC,IS,RevenueFromContractWithCustomerExcludingAssessedTax,Revenue,3223859000000.00,254
CVS HEALTH CORP,IS,CostsAndExpenses,Total operating costs,3212772000000.00,23
MICROSOFT CORP,IS,RevenueFromContractWithCustomerExcludingAssessedTax,Revenue,3163465000000.00,57
"COREBRIDGE FINANCIAL, INC.",IS,PremiumsEarnedNet,Premiums,2974554000000.00,124
LOWES COMPANIES INC,IS,RevenueFromContractWithCustomerExcludingAssessedTax,Net sales,2931296000000.00,175
RTX CORP,IS,Revenues,Net sales,2694819000000.00,464
PETROBRAS - PETROLEO BRASILEIRO SA,IS,Revenue,Sales revenues,2653502000000.00,252
HUMANA INC,IS,Revenues,Total revenues,2533160000000.00,181
COSTCO WHOLESALE CORP /NEW,IS,RevenueFromContractWithCustomerExcludingAssessedTax,Total Revenue,2529318000000.00,70
FEDEX CORP,IS,RevenueFromContractWithCustomerExcludingAssessedTax,REVENUE,2460950000000.00,307
CONOCOPHILLIPS,IS,Revenues,Sales and other operating revenues,2458490000000.00,295
DELL TECHNOLOGIES INC.,IS,Revenues,Total net revenue,2438562000000.00,114
CIGNA GROUP,IS,Revenues,TOTAL REVENUES,2419365000000.00,61
CENTENE CORP,IS,RevenueFromContractWithCustomerExcludingAssessedTax,Premium and service revenues,2410860000000.00,128
"CENCORA, INC.",IS,Revenues,Revenue,2342559466000.00,27
INTERNATIONAL BUSINESS MACHINES CORP,IS,Revenues,Revenue,2287873000000.00,177
SOUTHERN CO,IS,Revenues,Total operating revenues,2196235000000.00,923
"NIKE, INC.",IS,RevenueFromContractWithCustomerExcludingAssessedTax,Revenues,2170259000000.00,453
UNITEDHEALTH GROUP INC,IS,CostsAndExpenses,Total operating costs,2165780000000.00,16
APPLE INC,IS,CostOfGoodsAndServicesSold,Cost of sales,2159366000000.00,21
MCKESSON CORP,IS,RevenueFromContractWithCustomerExcludingAssessedTax,Revenues,2155782000000.00,50
HP INC,IS,Revenues,Net revenue,2143528000000.00,131
"ELEVANCE HEALTH, INC.",IS,OperatingRevenue,Total operating revenue,2101106000000.00,57
APPLE INC,IS,OperatingIncomeLoss,Operating income,2048436000000.00,49
ENERGY TRANSFER LP,IS,Revenues,Total revenues,2044314000000.00,356
PRUDENTIAL FINANCIAL INC,IS,Revenues,Total revenues,2039864000000.00,258
WALMART INC.,IS,Revenues,Total revenues,2028155000000.00,8
CHEVRON CORP,IS,CostsAndExpenses,Total Costs and Other Deductions,2008816000000.00,21
EXXON MOBIL CORP,IS,CostsAndExpenses,Total costs and other deductions,1998978000000.00,11
COSTCO WHOLESALE CORP /NEW,IS,RevenueFromContractWithCustomerExcludingAssessedTax,Total revenue,1982838000000.00,21
DELL TECHNOLOGIES INC.,IS,Revenues,Total net revenue,1968658000000.00,168
CENTENE CORP,IS,RevenueFromContractWithCustomerExcludingAssessedTax,Revenues,1967785000000.00,48
ORACLE CORP,IS,RevenueFromContractWithCustomerExcludingAssessedTax,Total revenues,1927533000000.00,178
BP PLC,IS,RevenueAndOperatingIncome,Sales and other operating revenues,1915547000000.00,27
CARDINAL HEALTH INC,IS,Revenues,Revenue,1905030000000.00,66
"DELTA AIR LINES, INC.",IS,RevenueFromContractWithCustomerExcludingAssessedTax,Total operating revenue,1898649000000.00,267
CENTENE CORP,IS,Revenues,Total revenues,1890244000000.00,165
UNITEDHEALTH GROUP INC,IS,RevenueFromContractWithCustomerExcludingAssessedTax,Revenue from Products and Services,1846061000000.00,234
VALERO ENERGY CORP/TX,IS,CostOfRevenue,Total cost of sales,1841158000000.00,55
PLAINS GP HOLDINGS LP,IS,Revenues,Total revenues,1840443000000.00,163
PLAINS ALL AMERICAN PIPELINE LP,IS,Revenues,Total revenues,1840443000000.00,163
CIGNA GROUP,IS,RevenueFromContractWithCustomerExcludingAssessedTax,Revenues,1840010000000.00,121
DEERE & CO,IS,Revenues,Net sales and revenues,1834334000000.00,273
AMAZON COM INC,IS,CostOfGoodsAndServicesSold,Cost of sales,1832465000000.00,11
"META PLATFORMS, INC.",IS,RevenueFromContractWithCustomerExcludingAssessedTax,Revenue:,1831837000000.00,80
"TESLA, INC.",IS,RevenueFromContractWithCustomerExcludingAssessedTax,Revenues,1830498000000.00,102
AMERICAN AIRLINES GROUP INC.,IS,RevenueFromContractWithCustomerExcludingAssessedTax,Total operating revenues,1819470000000.00,168
JPMORGAN CHASE & CO,IS,RevenuesNetOfInterestExpense,Total net revenue,1815652000000.00,77
JBS S.A.,IS,Revenue,NET REVENUE,1795479290000.00,90
"ELEVANCE HEALTH, INC.",IS,Revenues,Total revenues,1781985000000.00,26
ARCELORMITTAL,IS,RevenueFromContractsWithCustomers,Sales,1765824000000.00,281
GENERAL MOTORS CO,IS,Revenues,Total net sales and revenue (Note 2),1758697000000.00,72
METLIFE INC,IS,Revenues,Total revenues,1758377000000.00,126
CHEVRON CORP,IS,Revenues,Total Revenues and Other Income,1741050000000.00,17
VALERO ENERGY CORP/TX,IS,CostDirectMaterial,Cost of materials and other,1738924000000.00,66
PFIZER INC,IS,Revenues,Revenues,1730389000000.00,518
PRUDENTIAL FINANCIAL INC,IS,BenefitsLossesAndExpenses,Total benefits and expenses,1727589000000.00,235
"T-MOBILE US, INC.",IS,RevenueFromContractWithCustomerExcludingAssessedTax,Revenues,1725309000000.00,99
GENERAL ELECTRIC CO,IS,Revenues,Total revenues,1705778000000.00,128
MCKESSON CORP,IS,RevenueFromContractWithCustomerExcludingAssessedTax,Revenues,1699493000000.00,17
SYSCO CORP,IS,RevenueFromContractWithCustomerExcludingAssessedTax,Sales,1698289356000.00,600
"AMERICAN INTERNATIONAL GROUP, INC.",IS,Revenues,Total revenues,1690365000000.00,175
"ELEVANCE HEALTH, INC.",IS,BenefitsLossesAndExpenses,Total expenses,1686619000000.00,20
"META PLATFORMS, INC.",IS,RevenueFromContractWithCustomerExcludingAssessedTax,Revenue,1645471000000.00,33
BOEING CO,IS,Revenues,Total revenues,1636208000000.00,126
TOTALENERGIES SE,IS,RevenueFromContractsWithCustomersExcludingExciseTax,Revenues from sales,1627134000000.00,51
AMERISOURCEBERGEN CORP,IS,Revenues,Revenue,1624835387000.00,36
METLIFE INC,IS,BenefitsLossesAndExpenses,Total expenses,1605940000000.00,125
INTEL CORP,IS,RevenueFromContractWithCustomerExcludingAssessedTax,Net revenue,1604692000000.00,136
PEPSICO INC,IS,Revenues,Net Revenue,1602510000000.00,121
SHELL PLC,IS,OperatingExpense,Total expenditure,1602483000000.00,29
TOTALENERGIES SE,IS,RevenueFromContractsWithCustomers,Sales,1584952000000.00,57
CDW CORP,IS,RevenueFromContractWithCustomerExcludingAssessedTax,Net sales,1582830600000.00,957
BERKSHIRE HATHAWAY INC,IS,PremiumsEarnedNet,Insurance premiums earned,1577927000000.00,61
THERMO FISHER SCIENTIFIC INC.,IS,RevenueFromContractWithCustomerExcludingAssessedTax,Revenues,1575856000000.00,180
GENERAL MOTORS CO,IS,Revenues,Total net sales and revenue (Note 3),1563893000000.00,36
BP PLC,IS,RevenueAndOperatingIncome,Revenue and other operating income,1561939000000.00,36
CVS HEALTH CORP,IS,RevenueFromContractWithCustomerExcludingAssessedTax,Revenues,1557625000000.00,66
"ELEVANCE HEALTH, INC.",IS,PolicyholderBenefitsAndClaimsIncurredNet,Benefit expense,1546530000000.00,33
UNITEDHEALTH GROUP INC,IS,PolicyholderBenefitsAndClaimsIncurredHealthCare,Medical costs,1538204000000.00,13
WALMART INC.,IS,CostOfRevenue,Cost of sales,1524573000000.00,8
PFIZER INC,IS,Revenues,Total revenues,1523355000000.00,216
TOTALENERGIES SE,IS,RevenueFromContractsWithCustomersExcludingExciseTax,Revenues from sales,1522797000000.00,72
"UNITED AIRLINES HOLDINGS, INC.",IS,RevenueFromContractWithCustomerExcludingAssessedTax,Total operating revenue,1512440000000.00,154
SCHLUMBERGER LIMITED/NV,IS,RevenueFromContractWithCustomerExcludingAssessedTax,Total Revenue,1478639000000.00,394
AMERISOURCEBERGEN CORP,IS,Revenues,Revenue,1461921434000.00,48
CENTENE CORP,IS,PolicyholderBenefitsAndClaimsIncurredHealthCare,Medical costs,1457452000000.00,55
SYSCO CORP,IS,RevenueFromContractWithCustomerExcludingAssessedTax,Sales,1450135323000.00,199
DUKE ENERGY CORP,IS,RegulatedAndUnregulatedOperatingRevenue,Total operating revenues,1438413000000.00,303
GENERAL DYNAMICS CORP,IS,RevenueFromContractWithCustomerExcludingAssessedTax,Total revenue,1437567000000.00,584
COCA COLA CO,IS,Revenues,Net Operating Revenues,1435476000000.00,172
"ALBERTSONS COMPANIES, INC.",IS,RevenueFromContractWithCustomerExcludingAssessedTax,Net sales and other revenue,1429957400000.00,88
"GILEAD SCIENCES, INC.",IS,RevenueFromContractWithCustomerExcludingAssessedTax,Total revenues,1402095000000.00,1408
JOHNSON & JOHNSON,IS,RevenueFromContractWithCustomerExcludingAssessedTax,Sales to customers (Note 9),1398071000000.00,592
WALT DISNEY CO,IS,Revenues,Revenues,1396383000000.00,248
ENTERPRISE PRODUCTS PARTNERS L.P.,IS,Revenues,Total revenues,1394977000000.00,309
KROGER CO,IS,RevenueFromContractWithCustomerExcludingAssessedTax,Sales,1393683000000.00,26
MEDTRONIC PLC,IS,RevenueFromContractWithCustomerExcludingAssessedTax,Net sales,1386042000000.00,403
NOVARTIS AG,IS,RevenueFromSaleOfGoods,Net sales from continuing operations,1383913000000.00,352
WALMART INC.,IS,CostOfRevenue,Cost of sales,1382863000000.00,3
HONEYWELL INTERNATIONAL INC,IS,RevenueFromContractWithCustomerExcludingAssessedTax,Net sales,1371184000000.00,335
PROCTER & GAMBLE CO,IS,Revenues,Net Sales,1368774000000.00,97
BROOKFIELD CORP /ON/,IS,Revenue,Revenue,1363651000000.00,98
GENERAL DYNAMICS CORP,IS,RevenueFromContractWithCustomerExcludingAssessedTax,Revenue,1336869000000.00,234
ALPHABET INC.,IS,CostsAndExpenses,Total costs and expenses,1334204000000.00,11
"TYSON FOODS, INC.",IS,Revenues,Sales,1328321000000.00,297
CITIGROUP INC,IS,Revenues,"Total revenues, net of interest expense",1320255000000.00,84
BHP GROUP LTD,IS,Revenue,Revenue,1311964000000.00,119
PROGRESSIVE CORP/OH/,IS,Revenues,Total revenues,1307477300000.00,124
BLACKROCK INC.,IS,RevenueFromContractWithCustomerExcludingAssessedTax,Total revenue,1304736000000.00,517
CVS HEALTH CORP,IS,CostOfGoodsAndServicesSold,Cost of products sold,1302305000000.00,11
ELI LILLY & CO,IS,Revenues,Revenue (Note 2),1296922200000.00,975
LINDE PLC,IS,RevenueFromContractWithCustomerExcludingAssessedTax,Sales,1281517000000.00,425
VERIZON COMMUNICATIONS INC,IS,CostsAndExpenses,Total Operating Expenses,1273505000000.00,20
BRISTOL MYERS SQUIBB CO,IS,Revenues,Total revenues,1268541000000.00,264
DOW INC.,IS,RevenueFromContractWithCustomerIncludingAssessedTax,Net sales,1262829000000.00,87
CHUBB LTD,IS,PremiumsEarnedNet,Net premiums earned,1255781000000.00,177
BROADCOM INC.,IS,RevenueFromContractWithCustomerExcludingAssessedTax,Total net revenue,1254087000000.00,194
MANPOWERGROUP INC.,IS,RevenueFromContractWithCustomerExcludingAssessedTax,Revenues from services,1242326300000.00,842
GENERAL ELECTRIC CO,IS,Revenues,Total revenues (Note 8),1226123000000.00,196
METLIFE INC,IS,PremiumsEarnedNet,Premiums,1216617000000.00,123
RIO TINTO PLC,IS,Revenue,Consolidated sales revenue,1212835000000.00,132
DANAHER CORP /DE/,IS,RevenueFromContractWithCustomerExcludingAssessedTax,Sales,1208514000000.00,383
HUMANA INC,IS,BenefitsLossesAndExpenses,Total operating expenses,1207434000000.00,44
NORTHROP GRUMMAN CORP /DE/,IS,Revenues,Sales,1196921000000.00,520
CONSTELLATION ENERGY CORP,IS,Revenues,Total operating revenues,1193540000000.00,446
HF SINCLAIR CORP,IS,RevenueFromContractWithCustomerExcludingAssessedTax,Sales and other revenues,1171940784000.00,393
HSBC HOLDINGS PLC,IS,RevenueAndOperatingIncome,Net operating income/(expense) before change in expected credit losses and other credit impairment charges,1159928000000.00,79
BRISTOL MYERS SQUIBB CO,IS,Revenues,Total Revenues,1157652000000.00,126
PBF ENERGY INC.,IS,RevenueFromContractWithCustomerExcludingAssessedTax,Revenues,1155669100000.00,135
CIGNA GROUP,IS,BenefitsLossesAndExpenses,TOTAL BENEFITS AND EXPENSES,1145887000000.00,14
BERKSHIRE HATHAWAY ENERGY CO,IS,Revenues,Total operating revenue,1120448000000.00,560
PRUDENTIAL FINANCIAL INC,IS,PolicyholderBenefitsAndClaimsIncurredNet,Policyholders benefits,1114736000000.00,228
"TRAVELERS COMPANIES, INC.",IS,PremiumsEarnedNet,Premiums,1112013000000.00,242
WASTE MANAGEMENT INC,IS,RevenueFromContractWithCustomerExcludingAssessedTax,Operating revenues,1111948000000.00,334
MORGAN STANLEY,IS,RevenuesNetOfInterestExpense,Net revenues,1106378000000.00,91
"ELEVANCE HEALTH, INC.",IS,OperatingRevenue,Total operating revenue,1103786000000.00,76
"ELEVANCE HEALTH, INC.",IS,OperatingRevenue,Total operating revenue,1103786000000.00,76
METROPOLITAN LIFE INSURANCE CO,IS,Revenues,Total revenues,1084218000000.00,104
TARGET CORP,IS,RevenueFromContractWithCustomerExcludingAssessedTax,Revenue,1071738000000.00,88
SHELL PLC,IS,RawMaterialsAndConsumablesUsed,Purchases,1053244000000.00,8
AMGEN INC,IS,RevenueFromContractWithCustomerExcludingAssessedTax,Total revenues,1047979000000.00,464
CIGNA GROUP,IS,PremiumsEarnedNet,Premiums,1046638000000.00,154
NORTHROP GRUMMAN CORP /DE/,IS,Revenues,Revenues,1042959000000.00,207
HUMANA INC,IS,PolicyholderBenefitsAndClaimsIncurredHealthCare,Benefits,1039662000000.00,44
ABBOTT LABORATORIES,IS,RevenueFromContractWithCustomerExcludingAssessedTax,Net sales,1036542000000.00,520
JPMORGAN CHASE & CO,IS,NoninterestExpense,Total noninterest expense,1027668000000.00,77
ALPHABET INC.,IS,OperatingIncomeLoss,Income from operations,1027392000000.00,55
MCKESSON CORP,IS,CostOfGoodsAndServicesSold,Cost of sales,1027181000000.00,10
"PENSKE AUTOMOTIVE GROUP, INC.",IS,RevenueFromContractWithCustomerExcludingAssessedTax,Total revenues,1019097738000.00,261
WORLD KINECT CORP,IS,Revenues,Revenue,1017118500000.00,70
HEWLETT PACKARD ENTERPRISE CO,IS,Revenues,Total net revenue,1015921000000.00,289
ECOLAB INC.,IS,RevenueFromContractWithCustomerExcludingAssessedTax,Net sales,1012663000000.00,706
MARATHON PETROLEUM CORP,IS,CostsAndExpenses,Total costs and expenses,1007007000000.00,13
BANK OF AMERICA CORP /DE/,IS,Revenues,"Total revenue, net of interest expense",1002497000000.00,62
FORD MOTOR CO,IS,CostsAndExpenses,Total costs and expenses,1001885000000.00,11
