ps_partkey,value
1616728,9069768.96
849559,9062171.37
1539334,9061937.84
1788232,9059984.76
668599,9059875.79
1538653,9059479.66
1296218,9058785.65
1913687,9058539.36
92348,9058085.08
1924776,9056657.61
635385,9054878.72
462371,9054776.16
1635380,9050349.00
972771,9049920.75
1389732,9049540.36
1135381,9047340.50
122148,9046298.17
1638344,9045600.34
1773888,9037778.20
762452,9036686.13
968189,9033295.83
1368166,9028618.01
668109,9028077.12
843435,9019604.32
1786698,9014551.15
1399975,9009892.32
991025,9008397.72
842739,9005413.02
994050,8998810.20
1244679,8994158.25
1119082,8993537.51
360289,8993517.96
1867938,8992066.96
1038236,8981966.35
643156,8981443.04
165302,8976151.75
307635,8976046.70
1867886,8974356.98
449599,8973854.60
297920,8972781.28
870030,8972481.70
1467942,8970046.24
1123184,8965252.58
972209,8964925.86
1366717,8962530.78
1713181,8961081.75
286125,8960492.00
1421176,8958561.48
994531,8955763.05
417784,8954869.77
872307,8954823.60
493792,8954379.00
689512,8953694.33
1940598,8950617.90
1499891,8950181.94
866192,8950101.52
1988557,8947853.60
1269249,8945558.05
874624,8944436.84
1786998,8940002.90
422277,8938012.23
1566305,8937351.08
1144372,8934343.20
144576,8933294.58
1236952,8930236.30
1385746,8928350.02
815506,8924778.48
442898,8921548.20
1962608,8917372.92
299907,8917033.86
1810887,8916075.00
1323623,8915839.36
1557581,8914832.00
1911397,8913442.48
1268566,8911643.07
744664,8907309.67
163280,8903257.86
897920,8902273.94
1170708,8902231.36
685941,8901625.61
598909,8899137.78
1011289,8898097.50
1666490,8897286.20
1918814,8895583.99
1437693,8892235.88
464710,8891727.96
1515698,8890716.32
1516248,8888770.20
1947329,8886169.28
1749312,8885779.84
1422586,8885518.64
513601,8880276.24
1421881,8878779.72
822382,8878277.10
960989,8871921.20
1821789,8869952.61
723751,8868459.60
1657581,8867955.00
968798,8865802.56
617245,8865461.88
1318425,8864448.88
1944575,8862530.28
1982594,8861480.12
147058,8856758.97
1041300,8855453.20
1246816,8853888.30
1170213,8853804.00
1292800,8853108.43
1440818,8852489.60
337593,8850387.24
1360723,8850241.92
498040,8850141.43
996111,8844525.37
1635464,8844486.30
724886,8843486.19
370107,8839500.43
1249777,8839486.78
937296,8838903.50
1011424,8834553.64
1707615,8833972.80
1738440,8832965.63
1962552,8832403.18
796068,8829129.60
363345,8828753.85
168731,8828175.22
997143,8827057.85
1987894,8824717.80
796390,8824626.20
1507617,8824070.10
1497214,8823510.85
492546,8822673.20
423011,8822129.40
1565606,8822018.16
894854,8820829.50
1560668,8818376.58
1771481,8817841.22
492348,8817036.00
122225,8816821.86
1312475,8816298.17
348550,8815712.50
897293,8807839.62
1112849,8807810.62
1569278,8807190.76
1342930,8806193.76
745670,8805713.40
692948,8803793.16
412849,8802384.92
937235,8802126.48
671667,8802089.10
616904,8801499.24
1419793,8799660.80
114729,8795367.90
1792546,8794381.01
241338,8793215.20
1890626,8791829.10
1095110,8791152.30
1836995,8790539.26
1713998,8790186.60
1323597,8789868.00
769066,8786154.85
864768,8785908.26
667580,8785690.34
37572,8781802.56
157620,8781285.60
1261016,8781247.80
1289509,8781163.05
1147557,8781097.63
1211775,8780944.80
495780,8780349.76
1444039,8777096.90
637847,8775108.72
40337,8774355.09
271698,8773046.46
1219799,8772680.70
221698,8770160.52
1124752,8768687.40
1666027,8768240.04
885258,8767712.10
267232,8767355.40
1322589,8766245.28
1796057,8765730.97
672014,8755829.34
297730,8755617.90
1239025,8754645.38
1393556,8753465.72
1116743,8752783.26
917929,8752569.12
412049,8751611.76
1795926,8750886.76
1290675,8748222.63
836960,8746363.70
160541,8743004.24
1368592,8738585.92
536882,8738113.08
1148733,8736170.88
862129,8736023.52
1641474,8733934.44
822716,8730102.33
642936,8729058.87
365428,8728766.94
1144367,8727490.24
511187,8726008.20
736305,8725639.21
1290922,8725202.53
441722,8722541.44
1193750,8722316.82
1821030,8718389.55
1014560,8718222.42
967939,8717430.60
867485,8717135.90
341281,8716406.16
136908,8713736.16
735383,8711947.35
588616,8708529.08
12077,8708173.50
998952,8707955.36
769952,8707299.30
1085514,8705814.88
1022661,8705552.96
861506,8703807.48
921311,8701671.16
890421,8697478.75
1511766,8696998.24
473889,8696526.36
444968,8687977.20
935920,8686062.33
190421,8679352.50
1164869,8678949.12
1469962,8677727.40
615393,8677637.44
295618,8676849.60
1271072,8674680.05
222501,8674310.14
1238914,8672628.50
622066,8671453.56
1119113,8671216.80
94678,8669407.12
1697740,8668840.32
773747,8668387.76
387882,8667825.58
762142,8666822.94
1694131,8666348.60
341677,8665625.64
788784,8665228.79
1096656,8664960.09
796990,8664290.36
1724796,8663498.10
546913,8661996.64
1889348,8658963.84
485613,8657647.83
960876,8656794.72
521331,8655064.76
1186846,8655057.18
122364,8654910.72
1015381,8654577.20
1341379,8653961.72
772211,8653549.11
844115,8653138.08
1521871,8653034.64
1163240,8652680.18
1562360,8652471.04
711968,8651616.75
1487762,8650033.02
864774,8648959.95
565426,8648123.11
686923,8644848.15
1962783,8644779.00
669109,8642260.63
265419,8641373.94
49907,8637692.70
1988582,8636878.28
112842,8636543.52
967787,8635909.32
1097341,8635890.80
688256,8634509.44
686973,8633880.00
1393322,8632885.92
1970538,8632400.60
540763,8632104.00
793424,8625528.00
1567282,8623592.54
392106,8622017.60
412739,8621419.59
463286,8620273.68
711367,8620242.23
873171,8620160.32
1064775,8619798.17
923420,8619683.08
173892,8617849.76
1165614,8617561.26
948915,8617272.50
1399481,8615534.18
97306,8612676.80
996218,8612387.40
516327,8609696.86
335492,8607946.60
794748,8605028.00
1297084,8604877.30
12504,8604629.73
68760,8604030.96
1345084,8603463.00
1288468,8602928.88
373930,8600524.20
1488784,8599421.08
113373,8597996.36
766706,8597734.10
1636860,8597086.26
97293,8596710.78
1120395,8596612.46
1974879,8596240.04
1243138,8594501.90
1236035,8592934.90
1693179,8592346.16
722788,8591245.68
1647783,8590237.18
1897364,8589711.55
236051,8589338.95
1043558,8587109.70
1110703,8586688.62
567768,8586638.73
1246033,8580910.36
336177,8579279.64
717125,8578529.75
1815868,8577166.74
763467,8576685.54
1447200,8575288.15
1540268,8574825.50
249854,8573771.22
622225,8573370.85
835483,8572532.76
1449495,8571232.00
214584,8569550.30
1892942,8568188.10
444107,8567392.80
415665,8567254.80
1897347,8563870.92
1293162,8563125.24
1140900,8562633.20
1641890,8560497.00
1422374,8558039.96
1611928,8556610.48
1249870,8556185.01
1387031,8555515.44
1910250,8553900.62
1098536,8553603.83
94160,8553454.80
1398187,8552358.64
1111238,8552355.00
721817,8551401.06
762404,8550850.20
724324,8550286.29
919551,8549523.18
635504,8545670.84
513729,8545446.00
567795,8545293.40
690743,8540323.68
1187894,8539794.43
187149,8538303.42
1720297,8535817.04
148723,8534807.82
649623,8533218.51
92292,8530618.78
95618,8529543.74
1836431,8529452.40
1761940,8529445.20
1771051,8529184.58
966883,8526904.76
341127,8526890.45
311700,8525599.62
136974,8524351.56
260410,8523049.76
1570209,8522185.29
1664396,8521512.92
1221790,8521377.60
1696338,8520641.44
1991713,8519287.32
1470530,8519002.33
1564645,8518983.12
193792,8516343.36
861446,8515374.40
611679,8514661.40
897344,8513179.24
1210438,8512812.00
536699,8511199.84
1920500,8510690.52
1499387,8509762.80
636210,8508564.33
1319443,8508384.00
274917,8505874.86
347335,8501399.06
486989,8501310.27
1797650,8500411.08
1219331,8500074.80
1091313,8498628.62
1890636,8497544.76
188338,8497199.88
23979,8496981.00
1287514,8495306.52
1395307,8494982.48
90303,8494275.16
1166308,8494212.32
1816814,8489481.96
335562,8489214.37
1062562,8487485.24
1271493,8485027.20
585983,8484675.50
590411,8483967.36
1794141,8483795.28
793986,8483575.62
1617373,8483350.59
338778,8482418.25
867287,8482345.55
641459,8480947.16
937357,8478904.00
1864201,8477438.40
1018586,8473925.67
1717244,8473660.56
46346,8473619.20
41200,8473031.76
1391132,8470901.40
1312110,8470637.55
261768,8470456.32
590337,8469955.65
942782,8469095.32
622349,8468524.08
911982,8468000.00
143166,8466560.44
741186,8466154.51
1835480,8465912.37
772337,8460139.38
1797341,8459566.30
1642316,8458992.00
1713220,8458731.82
1916414,8457417.76
1044900,8456984.10
488271,8455968.00
871868,8453872.35
815719,8453656.53
524592,8452608.23
885498,8452435.20
1238645,8452203.84
449777,8451726.52
191319,8451458.40
794578,8451397.92
893601,8450373.54
1535948,8448709.79
245100,8448467.20
593750,8447274.42
1599339,8447043.98
1435285,8443737.72
1247282,8442424.35
116339,8440884.54
1364772,8439816.18
841117,8439600.45
1446847,8439592.94
1774558,8436661.68
682608,8433993.71
1265770,8433042.48
1641373,8429514.42
1265910,8427525.85
1512708,8426398.85
1967273,8422838.00
437708,8422223.40
660307,8421130.20
244396,8420816.28
1811334,8420804.04
1811644,8420557.05
461471,8420185.90
1199693,8418542.86
447683,8415695.10
1398674,8415166.61
621358,8414720.15
1046478,8413813.36
1535538,8413616.64
1671041,8412783.17
1224811,8412690.00
1291319,8411568.54
715600,8410983.76
394404,8409209.50
761468,8408938.85
1111859,8408736.80
1239636,8408604.86
1560833,8407259.70
1289145,8405189.25
1941695,8402197.04
692421,8401640.52
722130,8400187.74
1941282,8399834.04
1566298,8399466.90
1490728,8398946.34
365846,8398763.66
1946666,8398174.99
460564,8397581.76
1789430,8397210.20
449678,8396962.65
1123946,8395746.31
436194,8395358.40
1386576,8392463.97
949528,8391971.89
616025,8391840.54
1264259,8390883.68
1268685,8389822.80
346729,8389739.00
1714245,8389502.03
1315826,8388916.48
172746,8388767.46
699034,8388054.27
1332632,8386576.80
1671974,8385446.16
47297,8383710.48
1993732,8381654.46
1282590,8380181.04
390833,8379788.00
336904,8379411.60
1845557,8376798.29
574459,8375608.20
1517851,8373914.40
694482,8373111.84
687468,8373071.80
994748,8370407.43
97364,8369329.18
1985496,8369059.79
1919751,8368894.98
1373661,8368572.83
1572725,8367841.92
1549755,8365406.38
835242,8364338.40
1643044,8364209.44
1848626,8363768.94
1471824,8363641.95
942618,8363205.92
1937633,8360701.75
872235,8360666.34
1945555,8360312.76
1440452,8360066.88
1310959,8359650.30
1848638,8359560.76
346870,8358493.44
939278,8357205.28
773031,8356252.42
93737,8355190.24
1712518,8354048.54
1191229,8353261.30
512396,8351658.24
1741454,8351466.12
1342560,8348907.60
1542770,8347653.03
1541206,8347580.75
822343,8346633.75
216916,8346029.49
549837,8343761.92
642534,8341265.41
790442,8341184.32
249237,8336272.30
1566878,8332310.07
110527,8332219.97
537304,8330893.36
1446848,8329936.92
985397,8329860.00
1236451,8329635.93
466056,8327697.30
465388,8327377.18
1315810,8326690.34
1760482,8319906.88
539331,8317822.02
1511931,8317176.66
1324484,8313460.43
161054,8312712.36
1744126,8312393.28
1948107,8312371.94
1690478,8311158.78
818577,8307666.30
1661754,8306946.90
615607,8304318.60
672809,8304078.90
1139242,8303861.80
1593514,8303327.88
1086019,8300805.14
293556,8298936.36
968106,8295598.06
1569905,8293101.12
1116260,8292932.18
838474,8290467.76
1987751,8289943.20
189416,8288459.84
718906,8288029.06
1260971,8287316.73
949446,8286727.35
1791121,8284864.10
68179,8283715.44
1674559,8282990.70
10839,8282821.74
1147833,8281957.53
1068454,8280092.16
1193858,8278842.87
797155,8277246.56
1516184,8274901.50
1872610,8273987.76
321496,8273074.74
1718999,8272180.40
574341,8270102.01
595141,8267161.60
1165610,8266966.69
642574,8264679.36
790782,8264353.60
924617,8264071.26
549683,8263666.32
1637975,8263524.30
139730,8261133.12
1896338,8258468.79
940831,8258220.00
170034,8257101.93
868068,8256913.05
1836673,8256298.60
1968773,8256110.94
1971319,8255721.18
1298674,8253423.78
212308,8252928.95
1236247,8252245.44
1643907,8251576.86
1143429,8251284.88
999801,8249271.21
595863,8247222.16
167635,8246606.97
1993807,8245832.60
1742400,8245612.76
1048867,8245194.33
1860923,8244636.20
220044,8244577.10
1361684,8243131.40
1686976,8239869.12
1165732,8239112.64
374619,8239039.06
435491,8238526.52
1490621,8237575.70
1437630,8234741.40
1639459,8234361.00
657605,8233948.65
338551,8232006.60
760705,8229146.40
1218658,8228979.20
516278,8228069.32
890888,8224074.72
1937430,8223626.30
1524849,8223556.25
438268,8221963.75
548923,8221695.90
1015596,8219794.15
1568147,8218731.50
571106,8216956.44
86055,8216884.55
412870,8216528.58
436175,8215795.38
1696735,8215571.21
1161445,8214848.97
166120,8214330.15
1871358,8213812.67
769869,8212605.60
1170182,8209665.29
1615977,8209396.74
590615,8209129.52
1187695,8205844.78
411690,8205816.56
962182,8203884.78
1588056,8202421.35
489993,8202242.68
1622532,8200732.91
1311860,8200551.35
1144898,8199585.17
624950,8198915.34
538280,8198618.35
885496,8196837.63
1464350,8195917.80
1737027,8195882.56
161988,8195677.30
1424590,8195632.16
1746304,8195030.60
1494854,8195023.44
1699555,8193628.97
1841959,8192898.56
832629,8191716.06
239905,8190596.88
1647262,8189797.00
988490,8189340.90
1224367,8189128.64
1560501,8188610.56
1620691,8187379.97
913717,8187017.40
896346,8185287.84
918733,8181794.89
770097,8181740.84
1766905,8179998.97
1467890,8178231.60
1969584,8174988.90
686183,8174526.12
635502,8174290.56
38413,8172464.04
891892,8171563.92
1043444,8171112.97
822269,8170420.86
1623114,8169647.31
318106,8168923.18
1062792,8168639.76
1543100,8168443.20
1964765,8168051.46
1832623,8167874.19
1698772,8167037.19
1747546,8166639.08
418593,8166191.61
45719,8165431.68
1367790,8165141.74
172142,8164783.12
1346629,8164598.31
722272,8163066.32
1488047,8162993.28
99686,8162397.42
67295,8161779.08
1010495,8160462.00
1364771,8159584.88
97399,8158500.77
1895447,8157232.44
12240,8153372.33
1188547,8151662.40
1973736,8150923.95
1946073,8150298.72
192106,8150288.85
1486576,8149643.74
911865,8148328.54
498951,8148132.75
1336550,8147624.00
1520735,8145096.32
123455,8144153.80
1637719,8143695.42
324682,8143003.80
565828,8139852.36
61698,8137952.48
597228,8136246.77
1614734,8135884.10
1899891,8132272.80
539499,8131952.43
222361,8130856.96
1264770,8129447.13
1845928,8127919.89
1321466,8127716.61
939642,8124529.77
1174564,8124189.66
1816265,8124090.48
922389,8123842.29
522228,8121208.04
440838,8120503.22
1436742,8120430.33
7635,8119442.10
885736,8118260.32
394067,8117347.28
693325,8116710.75
543737,8112235.00
1365379,8109322.88
523621,8107800.84
1113386,8107064.84
1973198,8105090.00
1198979,8105013.35
1835905,8104314.96
1085839,8102425.84
392906,8101735.47
199875,8101651.87
1136888,8101496.20
1446962,8100171.03
1512554,8097649.20
697289,8097032.40
1699785,8095859.47
1698474,8095197.18
945282,8092828.52
387716,8092742.40
667950,8091813.33
1443048,8090961.80
1017048,8090676.06
494803,8090674.94
1543470,8089672.23
1211661,8089283.40
1341896,8088301.33
435522,8086697.65
837015,8086332.72
1013955,8085431.04
1743074,8084785.45
1347783,8083783.04
348973,8083036.81
385307,8082765.30
299339,8082718.17
1564894,8080602.60
597341,8079468.80
396791,8079273.24
1782580,8079264.00
1290613,8078372.12
1261799,8077735.98
95388,8075565.25
637790,8074164.95
1374374,8073593.60
1966976,8072689.52
447359,8072353.10
443107,8071124.85
1722009,8067031.80
715844,8066211.77
120101,8065552.50
941967,8063676.67
111180,8063573.38
1685998,8063521.86
973749,8063437.18
1094803,8055355.96
1464495,8051882.04
988616,8050497.90
345098,8048075.91
1644035,8047434.15
846907,8047268.10
1099919,8046255.63
1966469,8045580.15
586456,8045521.85
1616927,8045279.52
224795,8044653.84
1166983,8044630.92
464505,8041623.66
507612,8040681.75
1187762,8039036.25
890677,8038853.90
1418705,8038731.52
497399,8038562.91
665776,8038003.89
1122118,8037448.86
861145,8036451.41
194876,8035892.54
1948855,8035392.09
141198,8035110.72
268735,8034702.40
211216,8033586.76
96673,8033491.20
1693986,8032699.50
741029,8032449.16
391025,8032417.12
271838,8030897.61
760535,8029968.00
1514397,8029063.60
319134,8028843.08
560751,8028354.00
489788,8027056.94
1766759,8026996.00
364657,8026719.36
346787,8026242.55
699858,8024294.32
895526,8024114.01
747280,8021877.93
165477,8021790.97
136476,8020945.50
639232,8019752.91
585313,8019256.32
1390636,8015216.52
1540383,8014888.80
1635807,8014454.89
443608,8013207.36
1574676,8011986.60
1786271,8011910.15
698924,8009545.14
1093672,8009489.92
313573,8008012.98
363613,8003985.60
1819089,8003447.84
511687,8003348.00
144874,8002095.92
573767,7999054.56
149239,7998114.41
1914284,7997916.16
1439117,7997160.99
1518401,7995347.19
1412557,7995194.68
573453,7993815.74
568419,7992788.32
791922,7991668.44
390875,7991590.80
241991,7989815.40
1767853,7989814.80
337234,7989367.10
1582584,7989313.92
262569,7988453.01
997628,7988354.66
686472,7987394.28
1837204,7987088.20
1737480,7986778.88
21057,7986615.49
444912,7984902.12
766886,7984811.35
921799,7983463.67
388616,7983163.32
136454,7981819.82
966500,7980736.24
671673,7980377.60
694613,7980307.12
598979,7979905.00
1394835,7979771.52
574518,7978802.50
1816175,7978513.40
464240,7978444.00
137312,7978314.99
139783,7977863.04
847413,7977647.70
686153,7976611.20
199833,7976128.88
646814,7975712.64
1836089,7974349.38
667767,7972848.78
693986,7971312.40
668482,7970011.20
686709,7969506.67
1457569,7968349.70
1997650,7968348.72
468510,7965692.72
1187149,7965100.20
1438028,7963741.50
148949,7962585.30
360522,7961472.42
1421125,7961346.75
539789,7959183.12
1670269,7956575.62
1843754,7955350.20
1712861,7955236.80
115623,7954110.96
238334,7953851.15
1944882,7953487.62
337055,7953341.60
1238223,7952758.00
1324647,7952212.97
542282,7952178.24
70926,7952104.96
1937683,7950987.96
194186,7950316.40
1941275,7948336.40
599898,7946750.00
1098305,7946633.31
1274835,7946325.40
1570373,7944943.36
696843,7943484.11
1062823,7942556.16
1116254,7941723.85
44976,7940553.12
497243,7938462.96
673899,7938052.20
1015598,7937891.31
1549864,7937773.20
1088256,7937246.28
1737538,7936350.00
1323848,7936022.90
1042616,7935032.56
1923395,7934858.24
1317831,7934426.58
1463262,7933779.20
1519118,7933538.46
1598038,7933004.94
1996793,7930704.32
294600,7928628.60
1172217,7928141.49
1791025,7925745.10
1668648,7925513.75
1690392,7925003.18
1185978,7923972.90
1765816,7922148.30
1470090,7921461.04
1047274,7920687.74
1121430,7920148.60
62061,7920112.05
1112281,7920051.80
843094,7919997.40
1192956,7918615.44
1471200,7918171.20
499919,7918103.70
1822362,7916421.12
1169478,7915347.44
1843658,7911366.64
1589244,7911046.08
1044783,7910886.80
1017991,7910275.20
1912134,7907495.64
1146354,7907457.79
1193021,7906961.92
293750,7906810.92
597218,7905187.64
1265262,7904742.00
518777,7903805.63
914934,7902215.68
520095,7901760.84
1439760,7901439.58
48674,7901010.24
1118953,7900384.41
93732,7900347.40
74691,7900141.92
363373,7898194.08
843648,7897708.53
19073,7895328.84
1943092,7893662.28
14749,7893395.07
1143715,7892702.40
114796,7892389.71
1732632,7891762.50
772715,7891696.68
360527,7891211.64
271109,7891133.25
1791313,7889502.30
436263,7886648.31
671834,7883050.88
1987031,7881762.24
1598217,7879266.18
390431,7878602.16
1022264,7877965.50
1072799,7876715.23
1090411,7876101.61
289782,7875405.20
212025,7875311.20
1293672,7874809.38
113781,7874275.24
473448,7873771.86
1911713,7873370.56
1371643,7872494.02
1549938,7871661.59
564501,7871383.08
1542606,7869041.84
1866695,7868860.02
1949301,7868419.47
39271,7865965.80
62240,7865857.65
1046820,7865150.61
1018841,7864281.31
994303,7863806.72
1270678,7862841.19
666465,7862744.25
735528,7862682.34
1361960,7862666.94
1761166,7861917.90
1016746,7859902.81
1286899,7859676.36
18488,7857849.26
1439771,7857405.48
1564229,7856776.98
266318,7856172.51
1185613,7854669.92
386398,7853729.43
770369,7853589.48
1310890,7852417.05
1998023,7851057.81
1617924,7851026.00
1696340,7848589.92
1124611,7845314.18
137297,7845037.68
1023149,7844840.46
274573,7840693.98
1946755,7839948.48
924580,7839862.80
1673658,7839818.32
1662746,7839435.60
1874589,7838838.72
249342,7838404.56
517076,7838053.44
361954,7837488.75
1891236,7837131.12
46057,7835709.81
739402,7834397.76
1243525,7833786.07
443416,7833235.32
1040728,7832903.10
1169575,7831060.93
1140252,7830791.15
785271,7830345.60
235521,7830116.54
1797579,7829776.24
512992,7827686.31
1617058,7826761.12
846688,7826704.96
1721163,7825880.16
463981,7824680.60
337293,7824261.68
32620,7823913.12
1920536,7822918.32
267331,7822741.32
1623410,7822555.68
990613,7822243.38
185839,7821640.74
44959,7821574.84
1324307,7821260.02
768542,7821221.84
689660,7816847.86
1261898,7815940.24
1473711,7815746.19
491025,7814999.46
1117863,7814406.88
393322,7813221.58
742283,7812521.70
410400,7810324.95
1496916,7809874.80
86811,7809567.48
467430,7809488.12
1396137,7809270.42
823638,7808756.56
1814358,7808596.74
544588,7807562.56
649863,7807090.48
1794482,7806310.74
12253,7806230.18
243756,7804754.91
118107,7803819.63
545378,7802483.20
574036,7802438.58
1561373,7800626.35
12569,7799985.00
719379,7799096.55
366310,7797791.18
1266188,7797443.90
41152,7796919.27
1235492,7796540.16
98909,7796331.62
1272735,7793720.48
867325,7793454.06
1707618,7792422.60
1947469,7791375.94
1189296,7791033.21
1896160,7789791.52
443541,7789589.84
910489,7789171.14
221332,7788521.88
1592994,7787695.14
1914719,7787284.92
1488490,7786923.32
1961290,7786763.28
1967986,7786249.76
964403,7785528.76
798905,7784959.94
590062,7784275.52
1168726,7783487.92
1661372,7782876.16
890849,7779795.67
1188256,7779699.36
1396679,7779657.48
1688547,7779431.25
1072010,7778725.92
122403,7778643.20
738476,7776726.18
1365760,7776161.28
569138,7775650.89
44487,7775221.04
918656,7774594.74
1564401,7774129.80
98556,7772175.60
1988251,7772116.10
571213,7771752.44
541720,7770571.38
1711102,7770386.40
1711435,7769913.69
717240,7768608.80
1187430,7768534.36
1464947,7768338.98
1385313,7767369.42
761471,7767238.80
868784,7767222.98
1311772,7766136.40
1366700,7766136.00
1518277,7764575.10
214726,7763943.96
174402,7763870.22
1390442,7763860.86
763273,7762569.24
14132,7762273.28
242120,7761137.52
792546,7759703.60
812671,7759157.88
435766,7758707.34
1337886,7758259.20
1111255,7757879.91
922458,7757802.00
1710991,7757652.48
1545689,7757514.60
1420484,7756622.29
1535899,7756404.78
1462047,7756278.75
923278,7755119.04
1660387,7753296.25
37299,7752320.25
535261,7751640.00
257623,7751309.98
1167423,7750937.90
248454,7749720.99
786472,7748804.60
485983,7748099.36
1747706,7745976.20
1439320,7745773.04
542665,7745603.00
164775,7745277.80
1447265,7744514.25
1039392,7743870.00
1597315,7743584.64
117939,7743281.82
892942,7742370.01
414497,7741348.98
1590413,7739752.80
1667276,7739560.76
1474833,7738190.46
1697730,7737118.38
760299,7736903.89
992546,7736290.29
1174682,7736289.28
1893664,7735380.18
396498,7735077.93
839716,7734042.80
38996,7732683.84
473721,7731833.60
189430,7731046.88
15846,7730642.16
1020270,7730622.72
1767089,7729444.05
1393488,7728544.80
1911399,7727938.14
1640224,7727661.04
1174908,7726802.76
247575,7726530.24
719592,7726289.20
1911002,7725644.76
264712,7724189.16
593601,7723769.22
470680,7723352.36
1099644,7722718.48
1812357,7721873.60
1539476,7721326.10
1170069,7721291.26
1595110,7721164.64
1045280,7720869.30
1467064,7716784.77
1395739,7716679.41
1689313,7716611.76
1849571,7716361.80
1748720,7715889.96
18108,7715076.54
1024864,7715075.04
1446951,7714461.04
1663031,7713413.40
312742,7713266.50
487572,7712796.16
1638244,7712696.64
669180,7712466.48
1640581,7711809.30
1121305,7710687.44
1866712,7710517.08
913441,7709631.72
216336,7708473.45
1390621,7708419.03
1836874,7707539.32
1120651,7707491.22
1341293,7707279.58
1286576,7706694.68
