name,stmt,tag,plabel,total_value,cnt
APPLE INC,IS,CostOfGoodsAndServicesSold,Cost of sales,3135778000000.00,39
WALMART INC.,IS,CostOfRevenue,Cost of sales,3117555000000.00,13
AMERISOURCEBERGEN CORP,IS,Revenues,Revenue,3086756821000.00,84
"NIKE, INC.",IS,RevenueFromContractWithCustomerExcludingAssessedTax,Revenues,3048819000000.00,851
APPLE INC,IS,OperatingIncomeLoss,Operating income,3003098000000.00,91
LOWES COMPANIES INC,IS,RevenueFromContractWithCustomerExcludingAssessedTax,Net sales,2931296000000.00,175
BUENAVENTURA MINING CO INC,IS,ProfitLoss,Profit (loss),2910683963000.00,105
HP INC,IS,Revenues,Net revenue,2746136000000.00,215
RTX CORP,IS,Revenues,Net sales,2694819000000.00,464
JBS S.A.,IS,Revenue,NET REVENUE,2693218935000.00,135
PETROBRAS - PETROLEO BRASILEIRO SA,IS,Revenue,Sales revenues,2653502000000.00,252
CONOCOPHILLIPS,IS,Revenues,Sales and other operating revenues,2644662000000.00,347
TOTALENERGIES SE,IS,RevenueFromContractsWithCustomers,Sales,2566335000000.00,177
DEERE & CO,IS,Revenues,Net sales and revenues,2552733000000.00,507
COSTCO WHOLESALE CORP /NEW,IS,RevenueFromContractWithCustomerExcludingAssessedTax,Total Revenue,2529318000000.00,70
FEDEX CORP,IS,RevenueFromContractWithCustomerExcludingAssessedTax,REVENUE,2460950000000.00,307
INTERNATIONAL BUSINESS MACHINES CORP,IS,Revenues,Revenue,2429521000000.00,201
"CENCORA, INC.",IS,Revenues,Revenue,2342559466000.00,27
CHEVRON CORP,IS,CostsAndExpenses,Total Costs and Other Deductions,2170567000000.00,25
EXXON MOBIL CORP,IS,CostsAndExpenses,Total costs and other deductions,2150683000000.00,13
ENERGY TRANSFER LP,IS,Revenues,Total revenues,2044314000000.00,356
"DELTA AIR LINES, INC.",IS,RevenueFromContractWithCustomerExcludingAssessedTax,Total operating revenue,2026004000000.00,315
PFIZER INC,IS,Revenues,Revenues,2000130000000.00,640
GENERAL MOTORS CO,IS,Revenues,Total net sales and revenue (Note 2),1994919000000.00,90
COSTCO WHOLESALE CORP /NEW,IS,RevenueFromContractWithCustomerExcludingAssessedTax,Total revenue,1982838000000.00,21
VALERO ENERGY CORP/TX,IS,CostOfRevenue,Total cost of sales,1979268000000.00,65
PLAINS ALL AMERICAN PIPELINE LP,IS,Revenues,Total revenues,1970845000000.00,189
PLAINS GP HOLDINGS LP,IS,Revenues,Total revenues,1970845000000.00,189
AMAZON COM INC,IS,CostOfGoodsAndServicesSold,Cost of sales,1966755000000.00,13
JPMORGAN CHASE & CO,IS,RevenuesNetOfInterestExpense,Total net revenue,1953784000000.00,91
BP PLC,IS,RevenueAndOperatingIncome,Sales and other operating revenues,1915547000000.00,27
"TESLA, INC.",IS,RevenueFromContractWithCustomerExcludingAssessedTax,Revenues,1915352000000.00,118
VALERO ENERGY CORP/TX,IS,CostDirectMaterial,Cost of materials and other,1869547000000.00,78
GENERAL ELECTRIC CO,IS,Revenues,Total revenues,1862556000000.00,174
"TYSON FOODS, INC.",IS,Revenues,Sales,1859911000000.00,549
"T-MOBILE US, INC.",IS,RevenueFromContractWithCustomerExcludingAssessedTax,Revenues,1858550000000.00,117
CHEVRON CORP,IS,Revenues,Total Revenues and Other Income,1846216000000.00,19
MCKESSON CORP,IS,CostOfGoodsAndServicesSold,Cost of sales,1838493000000.00,13
TARGET CORP,IS,RevenueFromContractWithCustomerExcludingAssessedTax,Revenue,1837926000000.00,154
AMERICAN AIRLINES GROUP INC.,IS,RevenueFromContractWithCustomerExcludingAssessedTax,Total operating revenues,1819470000000.00,168
ARCELORMITTAL,IS,RevenueFromContractsWithCustomers,Sales,1765824000000.00,281
BOEING CO,IS,Revenues,Total revenues,1732144000000.00,143
INTEL CORP,IS,RevenueFromContractWithCustomerExcludingAssessedTax,Net revenue,1709985000000.00,158
THERMO FISHER SCIENTIFIC INC.,IS,RevenueFromContractWithCustomerExcludingAssessedTax,Revenues,1702917000000.00,214
CDW CORP,IS,RevenueFromContractWithCustomerExcludingAssessedTax,Net sales,1701722900000.00,1131
CVS HEALTH CORP,IS,RevenueFromContractWithCustomerExcludingAssessedTax,Revenues,1673244000000.00,78
PEPSICO INC,IS,Revenues,Net Revenue,1670602000000.00,137
GENERAL DYNAMICS CORP,IS,RevenueFromContractWithCustomerExcludingAssessedTax,Total revenue,1639197000000.00,730
"UNITED AIRLINES HOLDINGS, INC.",IS,RevenueFromContractWithCustomerExcludingAssessedTax,Total operating revenue,1610133000000.00,182
SHELL PLC,IS,OperatingExpense,Total expenditure,1602483000000.00,29
SCHLUMBERGER LIMITED/NV,IS,RevenueFromContractWithCustomerExcludingAssessedTax,Total Revenue,1585142000000.00,464
"CISCO SYSTEMS, INC.",IS,RevenueFromContractWithCustomerExcludingAssessedTax,Total revenue,1584853000000.00,169
GENERAL MOTORS CO,IS,Revenues,Total net sales and revenue (Note 3),1563893000000.00,36
BP PLC,IS,RevenueAndOperatingIncome,Revenue and other operating income,1561939000000.00,36
COCA COLA CO,IS,Revenues,Net Operating Revenues,1542831000000.00,206
DUKE ENERGY CORP,IS,RegulatedAndUnregulatedOperatingRevenue,Total operating revenues,1533333000000.00,352
PFIZER INC,IS,Revenues,Total revenues,1523355000000.00,216
SOUTHERN CO,IS,Revenues,Total operating revenues,1521284000000.00,632
"GILEAD SCIENCES, INC.",IS,RevenueFromContractWithCustomerExcludingAssessedTax,Total revenues,1505068000000.00,1664
ENTERPRISE PRODUCTS PARTNERS L.P.,IS,Revenues,Total revenues,1499982000000.00,365
KROGER CO,IS,RevenueFromContractWithCustomerExcludingAssessedTax,Sales,1483448000000.00,28
HONEYWELL INTERNATIONAL INC,IS,RevenueFromContractWithCustomerExcludingAssessedTax,Net sales,1457381000000.00,391
BRISTOL MYERS SQUIBB CO,IS,Revenues,Total revenues,1449892000000.00,330
CITIGROUP INC,IS,Revenues,"Total revenues, net of interest expense",1442154000000.00,102
EXXON MOBIL CORP,IS,CrudeOilAndProductPurchases,Crude oil and product purchases,1438686000000.00,23
"ALBERTSONS COMPANIES, INC.",IS,RevenueFromContractWithCustomerExcludingAssessedTax,Net sales and other revenue,1429957400000.00,88
APPLE INC,IS,NetIncomeLoss,Net income,1423036000000.00,26
ELI LILLY & CO,IS,Revenues,Revenue (Note 2),1405728200000.00,1153
CVS HEALTH CORP,IS,CostOfGoodsAndServicesSold,Cost of products sold,1399269000000.00,13
JOHNSON & JOHNSON,IS,RevenueFromContractWithCustomerExcludingAssessedTax,Sales to customers (Note 9),1398071000000.00,592
MEDTRONIC PLC,IS,RevenueFromContractWithCustomerExcludingAssessedTax,Net sales,1386042000000.00,403
NOVARTIS AG,IS,RevenueFromSaleOfGoods,Net sales from continuing operations,1383913000000.00,352
LINDE PLC,IS,RevenueFromContractWithCustomerExcludingAssessedTax,Sales,1379416000000.00,499
DELL TECHNOLOGIES INC.,IS,CostOfRevenue,Total cost of net revenue,1376130000000.00,102
PROCTER & GAMBLE CO,IS,Revenues,Net Sales,1368774000000.00,97
NORTHROP GRUMMAN CORP /DE/,IS,Revenues,Sales,1365023000000.00,650
GENERAL DYNAMICS CORP,IS,RevenueFromContractWithCustomerExcludingAssessedTax,Revenue,1336869000000.00,234
CONSTELLATION ENERGY CORP,IS,Revenues,Total operating revenues,1327626000000.00,542
COSTCO WHOLESALE CORP /NEW,IS,CostOfGoodsAndServicesSold,Merchandise costs,1326695000000.00,13
VERIZON COMMUNICATIONS INC,IS,CostsAndExpenses,Total Operating Expenses,1324591000000.00,22
BHP GROUP LTD,IS,Revenue,Revenue,1311964000000.00,119
DANAHER CORP /DE/,IS,RevenueFromContractWithCustomerExcludingAssessedTax,Sales,1302444000000.00,454
PBF ENERGY INC.,IS,RevenueFromContractWithCustomerExcludingAssessedTax,Revenues,1266619100000.00,169
DOW INC.,IS,RevenueFromContractWithCustomerIncludingAssessedTax,Net sales,1262829000000.00,87
HF SINCLAIR CORP,IS,RevenueFromContractWithCustomerExcludingAssessedTax,Sales and other revenues,1257016660000.00,465
BROADCOM INC.,IS,RevenueFromContractWithCustomerExcludingAssessedTax,Total net revenue,1254087000000.00,194
PERFORMANCE FOOD GROUP CO,IS,RevenueFromContractWithCustomerIncludingAssessedTax,Net sales,1250204500000.00,206
ANHEUSER-BUSCH INBEV SA/NV,IS,Revenue,Revenue,1242273000000.00,79
GENERAL ELECTRIC CO,IS,Revenues,Total revenues (Note 8),1226123000000.00,196
RIO TINTO PLC,IS,Revenue,Consolidated sales revenue,1212835000000.00,132
APPLE INC,IS,GrossProfit,Gross margin,1204692000000.00,13
BERKSHIRE HATHAWAY ENERGY CO,IS,Revenues,Total operating revenue,1203171000000.00,658
"AUTONATION, INC.",IS,Revenues,TOTAL REVENUE,1202430900000.00,523
ABBOTT LABORATORIES,IS,RevenueFromContractWithCustomerExcludingAssessedTax,Net sales,1188018000000.00,650
WASTE MANAGEMENT INC,IS,RevenueFromContractWithCustomerExcludingAssessedTax,Operating revenues,1184182000000.00,382
CARDINAL HEALTH INC,IS,CostOfGoodsAndServicesSold,Cost of products sold,1173914000000.00,11
BRISTOL MYERS SQUIBB CO,IS,Revenues,Total Revenues,1157652000000.00,126
LYONDELLBASELL INDUSTRIES N.V.,IS,Revenues,"Sales revenue, net",1148364000000.00,430
ECOLAB INC.,IS,RevenueFromContractWithCustomerExcludingAssessedTax,Net sales,1145360500000.00,838
FLEX LTD.,IS,RevenueFromContractWithCustomerExcludingAssessedTax,Net sales,1138856000000.00,219
"PENSKE AUTOMOTIVE GROUP, INC.",IS,RevenueFromContractWithCustomerExcludingAssessedTax,Total revenues,1112203238000.00,308
JABIL INC,IS,RevenueFromContractWithCustomerExcludingAssessedTax,Net revenue,1110743000000.00,141
AMGEN INC,IS,RevenueFromContractWithCustomerExcludingAssessedTax,Total revenues,1107554000000.00,538
ASTRAZENECA PLC,IS,RevenueFromSaleOfGoods,Product Sales,1106284000000.00,1077
JPMORGAN CHASE & CO,IS,NoninterestExpense,Total noninterest expense,1106264000000.00,91
"CHARTER COMMUNICATIONS, INC. /MO/",IS,Revenues,REVENUES,1103333000000.00,151
CCO HOLDINGS LLC,IS,Revenues,REVENUES,1103291000000.00,148
HEWLETT PACKARD ENTERPRISE CO,IS,Revenues,Total net revenue,1096004000000.00,341
WELLS FARGO & COMPANY/MN,IS,RevenuesNetOfInterestExpense,Total revenue,1090134000000.00,91
PHILLIPS 66,IS,RevenuesAndOtherIncome,Total Revenues and Other Income,1089196000000.00,13
FORD MOTOR CO,IS,CostsAndExpenses,Total costs and expenses,1074379000000.00,13
JBS S.A.,IS,CostOfSales,Cost of sales,1072650288000.00,18
"MONDELEZ INTERNATIONAL, INC.",IS,Revenues,Net revenues,1068182000000.00,399
SHELL PLC,IS,RawMaterialsAndConsumablesUsed,Purchases,1053244000000.00,8
BANK OF AMERICA CORP /DE/,IS,Revenues,"Total revenue, net of interest expense",1048844000000.00,70
NORTHROP GRUMMAN CORP /DE/,IS,Revenues,Revenues,1042959000000.00,207
"WARNER BROS. DISCOVERY, INC.",IS,RevenueFromContractWithCustomerExcludingAssessedTax,Revenues,1035783000000.00,394
"ARROW ELECTRONICS, INC.",IS,Revenues,Sales,1034913995000.00,110
GENERAL MOTORS CO,IS,OperatingExpenses,Total costs and expenses,1026246000000.00,13
"TESLA, INC.",IS,CostOfRevenue,Total cost of revenues,1026227000000.00,48
WORLD KINECT CORP,IS,Revenues,Revenue,1017118500000.00,70
PHILLIPS 66,IS,CostAndExpenses,Total Costs and Expenses,1013919000000.00,13
JPMORGAN CHASE & CO,IS,InterestIncomeExpenseNet,Net interest income,1010785000000.00,94
MARATHON PETROLEUM CORP,IS,CostsAndExpenses,Total costs and expenses,1007007000000.00,13
"PONO CAPITAL THREE, INC.",IS,NetIncomeLoss,Net Income (loss),998831675290.00,12
BANK OF AMERICA CORP /DE/,IS,NetIncomeLoss,Net income,990771000000.00,148
WELLS FARGO & COMPANY/MN,IS,NoninterestExpense,Total noninterest expense,985552000000.00,108
SHELL PLC,IS,RevenueAndOperatingIncome,Total revenue and other income,982041000000.00,3
ABBOTT LABORATORIES,IS,RevenueFromContractWithCustomerExcludingAssessedTax,Net Sales,981929000000.00,220
AMERICAN ELECTRIC POWER CO INC,IS,RevenueFromContractWithCustomerIncludingAssessedTax,Revenue from Contracts with Customers,981156100000.00,2072
JPMORGAN CHASE & CO,IS,NetIncomeLoss,Net income/(loss),973131000000.00,74
TARGET CORP,IS,RevenueFromContractWithCustomerExcludingAssessedTax,Total revenue,967611000000.00,33
ENTERGY CORP /DE/,IS,RevenueFromContractWithCustomerExcludingAssessedTax,"Revenue from Contract with Customer, Excluding Assessed Tax",963345211000.00,1032
MARATHON PETROLEUM CORP,IS,CostOfGoodsAndServicesSold,Cost of revenues (excludes items below),958736000000.00,13
UNITED NATURAL FOODS INC,IS,RevenueFromContractWithCustomerExcludingAssessedTax,Net sales,954746000000.00,361
STRYKER CORP,IS,Revenues,Net sales,953192000000.00,561
JPMORGAN CHASE & CO,IS,NoninterestIncome,Noninterest revenue,953046000000.00,94
AMERISOURCEBERGEN CORP,IS,CostOfGoodsAndServicesSold,Cost of goods sold,950209635000.00,10
FORD MOTOR CO,IS,CostOfGoodsAndServicesSold,Cost of sales,946503000000.00,13
BP PLC,IS,Revenue,Total revenues and other income,944972000000.00,23
WESTROCK CO,IS,RevenueFromContractWithCustomerExcludingAssessedTax,Net sales,943451000000.00,564
TOTALENERGIES SE,IS,PurchasesNetOfInventoryVariation,"Purchases, net of inventory variation",942688000000.00,16
PHILLIPS 66,IS,CostOfGoodsAndServicesSold,Purchased crude oil and products,934228000000.00,13
TD SYNNEX CORP,IS,RevenueFromContractWithCustomerExcludingAssessedTax,Revenue,931370563000.00,58
EXXON MOBIL CORP,IS,ProfitLoss,Net income (loss) including noncontrolling interests,921324000000.00,52
PARAMOUNT GLOBAL,IS,RevenueFromContractWithCustomerExcludingAssessedTax,Revenues,920017000000.00,287
CHEVRON CORP,IS,CostOfGoodsAndServicesSold,Purchased crude oil and products,919830000000.00,16
CHEVRON CORP,IS,NetIncomeLoss,Net Income (Loss) Attributable to Chevron Corporation,914311000000.00,116
UNITED STATES STEEL CORP,IS,Revenues,Total (Note 6),906170000000.00,658
TARGA RESOURCES CORP.,IS,Revenues,Total revenues,904958600000.00,359
"C. H. ROBINSON WORLDWIDE, INC.",IS,RevenueFromContractWithCustomerExcludingAssessedTax,Total revenues,901049812000.00,197
QUALCOMM INC/DE,IS,Revenues,Total revenues,893788000000.00,135
GENERAL MOTORS CO,IS,CostOfGoodsAndServicesSold,Automotive and other cost of sales,890329000000.00,13
MURPHY USA INC.,IS,RevenueFromContractWithCustomerIncludingAssessedTax,Total operating revenues,890008600000.00,266
NVIDIA CORP,IS,Revenues,Revenue,889432000000.00,169
BANK OF AMERICA CORP /DE/,IS,NoninterestExpense,Total noninterest expense,880352000000.00,81
JOHNSON CONTROLS INTERNATIONAL PLC,IS,RevenueFromContractWithCustomerExcludingAssessedTax,Net sales,870020000000.00,243
WALMART INC.,IS,SellingGeneralAndAdministrativeExpense,"Operating, selling, general and administrative expenses",852986000000.00,13
BUNGE GLOBAL SA,IS,Revenues,Net sales,846662000000.00,86
TEXTRON INC,IS,Revenues,Total revenues,844371000000.00,747
APPLE INC,IS,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,Income before provision for income taxes,839799000000.00,13
"NRG ENERGY, INC.",IS,Revenues,Revenue,832927000000.00,209
BECTON DICKINSON & CO,IS,Revenues,Revenues,823364000000.00,477
KROGER CO,IS,CostOfGoodsAndServiceExcludingDepreciationDepletionAndAmortization,"Merchandise costs, including advertising, warehousing, and transportation, excluding items shown separately below",819124000000.00,13
EATON CORP PLC,IS,RevenueFromContractWithCustomerExcludingAssessedTax,Net sales,810617000000.00,300
JPMORGAN CHASE & CO,IS,InterestIncomeOperating,Interest income,799963000000.00,13
"DOLLAR TREE, INC.",IS,RevenueFromContractWithCustomerExcludingAssessedTax,Net sales,794464000000.00,156
