c_name,c_custkey,o_orderkey,o_orderdate,o_totalprice,sum_qty
Customer#001229309,1229309,22253443,1997-05-22,387250.42,304
Customer#001094602,1094602,7887841,1992-06-15,387090.12,308
Customer#000055201,55201,10906593,1996-03-16,385801.02,308
Customer#000246775,246775,39732833,1993-02-27,385380.02,302
Customer#001386854,1386854,6651397,1992-07-14,385049.15,301
Customer#000963085,963085,13683589,1995-06-08,384769.28,313
Customer#000963857,963857,16783360,1998-02-16,380130.13,308
Customer#001239323,1239323,52458145,1996-08-30,378787.18,309
Customer#000859871,859871,7379172,1993-01-21,378395.58,301
Customer#000178193,178193,52993379,1997-05-10,376840.23,303
Customer#000040057,40057,49608135,1995-10-18,375447.85,302
Customer#000822577,822577,54185891,1994-06-21,372702.28,302
Customer#000869900,869900,54849831,1994-09-14,371053.95,304
Customer#001217014,1217014,10442629,1993-01-13,368362.12,302
Customer#000129193,129193,56952741,1997-09-13,366947.71,305
Customer#000203593,203593,20016800,1993-02-22,366897.41,301
Customer#001263409,1263409,31855814,1998-04-10,365844.60,309
Customer#001470748,1470748,47452993,1993-01-06,365823.23,301
Customer#000248779,248779,12563331,1993-06-02,365315.83,301
Customer#000653965,653965,27458500,1995-09-25,364945.75,304
Customer#000750967,750967,17612003,1996-02-05,359071.37,302
