cntrycode,numcust,totacctbal
13,1,5119.92
13,1,5121.61
13,1,5121.74
13,1,5122.59
13,1,5122.94
13,1,5123.87
13,1,5124.80
13,1,5124.96
13,1,5125.04
13,1,5125.34
13,1,5127.50
13,1,5127.58
13,1,5128.03
13,1,5128.60
13,1,5128.88
13,1,5129.36
13,1,5129.51
13,1,5129.64
13,1,5130.44
13,1,5130.77
13,1,5130.79
13,1,5132.25
13,1,5132.47
13,1,5132.54
13,1,5132.79
13,1,5133.97
13,1,5134.28
13,1,5134.87
13,1,5135.28
13,1,5135.64
13,1,5136.30
13,1,5137.10
13,1,5137.30
13,1,5137.46
13,1,5137.60
13,1,5137.74
13,1,5138.26
13,1,5138.45
13,1,5140.73
13,1,5141.03
13,1,5141.94
13,1,5142.24
13,1,5142.66
13,1,5143.64
13,1,5144.00
13,1,5144.26
13,1,5145.16
13,1,5145.44
13,1,5145.98
13,1,5147.09
13,1,5147.16
13,1,5147.55
13,1,5147.76
13,1,5148.18
13,1,5148.67
13,1,5148.68
13,1,5148.95
13,1,5149.07
13,1,5149.24
13,1,5149.43
13,1,5149.94
13,1,5150.39
13,1,5150.88
13,1,5151.96
13,1,5152.50
13,1,5153.60
13,1,5153.81
13,1,5153.86
13,1,5154.01
13,1,5154.04
13,1,5154.09
13,1,5156.33
13,1,5156.98
13,1,5157.79
13,1,5158.04
13,1,5158.51
13,1,5158.59
13,1,5159.40
13,1,5160.64
13,1,5161.19
13,1,5161.23
13,1,5161.50
13,1,5162.27
13,1,5164.86
13,1,5165.49
13,1,5165.79
13,1,5166.27
13,1,5170.34
13,1,5170.39
13,1,5170.53
13,1,5171.43
13,1,5171.79
13,1,5172.03
13,1,5172.58
13,1,5173.54
13,1,5173.68
13,1,5173.86
13,1,5173.97
13,1,5174.71
13,1,5174.98
13,1,5175.04
13,1,5175.21
13,1,5175.64
13,1,5175.74
13,1,5176.38
13,1,5177.96
13,1,5178.25
13,1,5178.57
13,1,5178.58
13,1,5178.94
13,1,5179.56
13,1,5179.67
13,1,5179.86
13,1,5180.10
13,1,5180.19
13,1,5182.38
13,1,5183.02
13,1,5183.16
13,1,5183.53
13,1,5183.58
13,1,5184.23
13,1,5185.06
13,1,5185.10
13,1,5186.21
13,1,5186.55
13,1,5186.96
13,1,5187.48
13,1,5188.17
13,1,5188.62
13,1,5189.01
13,1,5189.69
13,1,5190.09
13,1,5190.23
13,1,5190.44
13,1,5190.54
13,1,5190.88
13,1,5190.89
13,1,5191.29
13,1,5193.08
13,1,5193.53
13,1,5194.25
13,1,5194.98
13,1,5195.69
13,1,5196.25
13,1,5198.10
13,1,5198.24
13,1,5199.07
13,1,5199.23
13,1,5199.43
13,1,5200.23
13,1,5200.63
13,1,5201.53
13,1,5201.83
13,1,5202.37
13,1,5202.73
13,1,5203.76
13,1,5204.22
13,1,5204.69
13,1,5204.87
13,1,5205.95
13,1,5206.97
13,1,5207.10
13,1,5208.10
13,1,5208.65
13,1,5209.05
13,1,5210.05
13,1,5210.05
13,1,5210.29
13,1,5211.70
13,1,5211.79
13,1,5212.85
13,1,5213.16
13,1,5213.33
13,1,5213.59
13,1,5214.30
13,1,5214.31
13,1,5215.31
13,1,5215.46
13,1,5215.90
13,1,5216.52
13,1,5217.16
13,1,5217.25
13,1,5217.76
13,1,5218.05
13,1,5218.12
13,1,5218.28
13,1,5218.58
13,1,5218.74
13,1,5218.76
13,1,5218.97
13,1,5219.72
13,1,5220.00
13,1,5220.24
13,1,5220.25
13,1,5220.73
13,1,5220.84
13,1,5220.91
13,1,5224.24
13,1,5225.36
13,1,5226.33
13,1,5227.03
13,1,5227.18
13,1,5227.70
13,1,5228.24
13,1,5228.94
13,1,5229.20
13,1,5229.27
13,1,5229.98
13,1,5230.71
13,1,5231.09
13,1,5231.33
13,1,5231.47
13,1,5231.68
13,1,5231.95
13,1,5232.39
13,1,5232.41
13,1,5233.35
13,1,5233.55
13,1,5233.58
13,1,5234.10
13,1,5234.26
13,1,5234.71
13,1,5234.75
13,1,5235.71
13,1,5235.94
13,1,5239.42
13,1,5239.79
13,1,5239.93
13,1,5240.65
13,1,5241.02
13,1,5241.75
13,1,5242.02
13,1,5242.29
13,1,5242.70
13,1,5244.03
13,1,5244.84
13,1,5245.06
13,1,5245.25
13,1,5245.62
13,1,5245.68
13,1,5246.39
13,1,5246.48
13,1,5246.74
13,1,5246.77
13,1,5248.84
13,1,5249.53
13,1,5251.33
13,1,5252.71
13,1,5253.09
13,1,5253.26
13,1,5254.84
13,1,5255.53
13,1,5257.53
13,1,5258.05
13,1,5258.62
13,1,5259.75
13,1,5260.51
13,1,5261.44
13,1,5261.67
13,1,5261.76
13,1,5262.05
13,1,5262.09
13,1,5263.04
13,1,5264.42
13,1,5265.31
13,1,5266.03
13,1,5266.44
13,1,5266.71
13,1,5267.61
13,1,5267.93
13,1,5268.01
13,1,5269.50
13,1,5270.16
13,1,5270.21
13,1,5270.71
13,1,5271.19
13,1,5271.38
13,1,5271.63
13,1,5272.20
13,1,5274.04
13,1,5275.01
13,1,5275.27
13,1,5275.83
13,1,5278.13
13,1,5278.41
13,1,5278.86
13,1,5279.35
13,1,5279.66
13,1,5279.76
13,1,5282.08
13,1,5282.31
13,1,5282.69
13,1,5282.94
13,1,5283.83
13,1,5284.45
13,1,5284.87
13,1,5284.91
13,1,5285.23
13,1,5285.79
13,1,5285.80
13,1,5286.59
13,1,5287.00
13,1,5287.28
13,1,5287.38
13,1,5288.71
13,1,5290.44
13,1,5290.52
13,1,5290.94
13,1,5292.09
13,1,5292.12
13,1,5292.21
13,1,5292.51
13,1,5292.84
13,1,5292.94
13,1,5293.01
13,1,5293.39
13,1,5293.69
13,1,5294.36
13,1,5295.02
13,1,5295.13
13,1,5295.16
13,1,5295.93
13,1,5296.29
13,1,5296.54
13,1,5297.74
13,1,5298.23
13,1,5298.98
13,1,5301.94
13,1,5302.27
13,1,5302.89
13,1,5303.14
13,1,5306.58
13,1,5308.11
13,1,5309.52
13,1,5310.07
13,1,5310.36
13,1,5311.35
13,1,5311.50
13,1,5311.85
13,1,5312.18
13,1,5313.21
13,1,5315.23
13,1,5315.94
13,1,5316.64
13,1,5318.33
13,1,5318.54
13,1,5318.70
13,1,5318.75
13,1,5319.78
13,1,5319.97
13,1,5320.77
13,1,5321.34
13,1,5323.59
13,1,5323.88
13,1,5323.94
13,1,5324.54
13,1,5324.64
13,1,5325.19
13,1,5325.34
13,1,5325.54
13,1,5326.02
13,1,5326.29
13,1,5327.48
13,1,5327.92
13,1,5328.08
13,1,5328.81
13,1,5328.94
13,1,5329.16
13,1,5329.32
13,1,5329.56
13,1,5331.62
13,1,5332.50
13,1,5332.60
13,1,5332.92
13,1,5333.44
13,1,5334.66
13,1,5334.81
13,1,5334.98
13,1,5335.41
13,1,5335.42
13,1,5337.32
13,1,5337.38
13,1,5337.92
13,1,5338.36
13,1,5339.10
13,1,5339.67
13,1,5339.95
13,1,5341.78
13,1,5342.45
13,1,5343.60
13,1,5343.76
13,1,5343.88
13,1,5344.17
13,1,5344.39
13,1,5344.64
13,1,5345.00
13,1,5346.28
13,1,5346.31
13,1,5346.94
13,1,5347.65
13,1,5348.38
13,1,5348.75
13,1,5349.22
13,1,5350.49
13,1,5351.33
13,1,5351.38
13,1,5351.74
13,1,5351.83
13,1,5352.89
13,1,5354.32
13,1,5354.47
13,1,5356.30
13,1,5356.59
13,1,5356.81
13,1,5359.60
13,1,5359.65
13,1,5359.77
13,1,5360.12
13,1,5360.31
13,1,5360.33
13,1,5360.93
13,1,5361.62
13,1,5361.87
13,1,5362.53
13,1,5362.56
13,1,5362.89
13,1,5363.31
13,1,5363.40
13,1,5363.66
13,1,5363.72
13,1,5364.51
13,1,5365.49
13,1,5365.58
13,1,5365.73
13,1,5365.84
13,1,5365.86
13,1,5365.93
13,1,5366.61
13,1,5367.41
13,1,5367.62
13,1,5368.86
13,1,5370.16
13,1,5370.76
13,1,5371.01
13,1,5371.02
13,1,5371.17
13,1,5371.56
13,1,5372.19
13,1,5372.85
13,1,5373.53
13,1,5374.03
13,1,5374.29
13,1,5374.29
13,1,5374.79
13,1,5374.93
13,1,5375.80
13,1,5375.92
13,1,5376.54
13,1,5377.12
13,1,5378.09
13,1,5378.94
13,1,5379.06
13,1,5379.73
13,1,5380.42
13,1,5380.84
13,1,5381.56
13,1,5381.72
13,1,5382.27
13,1,5383.19
13,1,5383.39
13,1,5383.56
13,1,5383.57
13,1,5384.25
13,1,5384.49
13,1,5385.03
13,1,5385.59
13,1,5385.60
13,1,5385.69
13,1,5385.76
13,1,5386.37
13,1,5387.70
13,1,5389.01
13,1,5389.05
13,1,5389.13
13,1,5389.46
13,1,5390.29
13,1,5390.60
13,1,5390.66
13,1,5391.74
13,1,5392.54
13,1,5392.95
13,1,5393.29
13,1,5395.81
13,1,5396.09
13,1,5396.49
13,1,5396.90
13,1,5397.54
13,1,5398.65
13,1,5399.91
13,1,5400.97
13,1,5401.52
13,1,5402.36
13,1,5402.57
13,1,5402.60
13,1,5403.41
13,1,5405.56
13,1,5405.58
13,1,5406.31
13,1,5406.75
13,1,5407.43
13,1,5407.47
13,1,5408.40
13,1,5408.50
13,1,5409.48
13,1,5410.32
13,1,5410.69
13,1,5410.76
13,1,5411.04
13,1,5411.53
13,1,5414.95
13,1,5415.50
13,1,5416.07
13,1,5416.21
13,1,5416.28
13,1,5417.53
13,1,5417.61
13,1,5418.15
13,1,5418.37
13,1,5418.93
13,1,5419.23
13,1,5420.20
13,1,5420.32
13,1,5420.65
13,1,5420.73
13,1,5421.09
13,1,5421.61
13,1,5421.85
13,1,5422.01
13,1,5423.53
13,1,5425.28
13,1,5425.72
13,1,5426.12
13,1,5427.26
13,1,5427.86
13,1,5428.04
13,1,5429.34
13,1,5429.49
13,1,5429.99
13,1,5430.43
13,1,5431.27
13,1,5432.22
13,1,5432.98
13,1,5434.41
13,1,5434.44
13,1,5435.02
13,1,5435.35
13,1,5436.89
13,1,5437.05
13,1,5437.69
13,1,5437.88
13,1,5437.89
13,1,5437.92
13,1,5438.74
13,1,5438.76
13,1,5438.86
13,1,5438.91
13,1,5438.95
13,1,5439.22
13,1,5441.32
13,1,5442.14
13,1,5442.59
13,1,5443.22
13,1,5443.76
13,1,5444.10
13,1,5444.20
13,1,5445.48
13,1,5445.66
13,1,5446.61
13,1,5447.02
13,1,5447.76
13,1,5448.86
13,1,5449.06
13,1,5449.91
13,1,5449.94
13,1,5451.21
13,1,5451.38
13,1,5451.64
13,1,5451.80
13,1,5453.75
13,1,5454.34
13,1,5454.86
13,1,5455.37
13,1,5455.70
13,1,5456.05
13,1,5456.65
13,1,5457.02
13,1,5457.68
13,1,5458.39
13,1,5458.59
13,1,5459.51
13,1,5460.23
13,1,5460.99
13,1,5461.04
13,1,5461.08
13,1,5461.26
13,1,5461.65
13,1,5461.77
13,1,5463.05
13,1,5464.34
13,1,5464.79
13,1,5465.25
13,1,5466.70
13,1,5466.88
13,1,5467.79
13,1,5468.22
13,1,5468.40
13,1,5469.72
13,1,5471.21
13,1,5471.28
13,1,5472.12
13,1,5472.98
13,1,5473.25
13,1,5473.48
13,1,5473.53
13,1,5473.71
13,1,5475.17
13,1,5475.37
13,1,5476.26
13,1,5476.54
13,1,5477.09
13,1,5477.70
13,1,5477.83
13,1,5478.03
13,1,5478.99
13,1,5479.81
13,1,5479.89
13,1,5480.07
13,1,5480.09
13,1,5480.85
13,1,5480.92
13,1,5482.18
13,1,5482.45
13,1,5482.79
13,1,5485.24
13,1,5485.91
13,1,5486.10
13,1,5486.88
13,1,5487.95
13,1,5489.01
13,1,5491.03
13,1,5492.04
13,1,5493.29
13,1,5493.60
13,1,5494.57
13,1,5496.74
13,1,5497.06
13,1,5497.10
13,1,5497.55
13,1,5497.71
13,1,5497.97
13,1,5497.99
13,1,5498.19
13,1,5499.00
13,1,5499.23
13,1,5499.27
13,1,5499.32
13,1,5500.70
13,1,5500.83
13,1,5501.11
13,1,5501.31
13,1,5501.46
13,1,5501.50
13,1,5502.01
13,1,5502.39
13,1,5503.36
13,1,5503.49
13,1,5504.16
13,1,5504.26
13,1,5504.41
13,1,5504.61
13,1,5505.65
13,1,5506.96
13,1,5507.67
13,1,5507.84
13,1,5508.61
13,1,5508.66
13,1,5509.09
13,1,5509.59
13,1,5509.89
13,1,5510.68
13,1,5511.57
13,1,5511.71
13,1,5511.73
13,1,5512.17
13,1,5512.37
13,1,5512.58
13,1,5514.47
13,1,5515.49
13,1,5515.73
13,1,5517.10
13,1,5517.15
13,1,5518.04
13,1,5518.28
13,1,5518.74
13,1,5519.57
13,1,5520.01
13,1,5520.02
13,1,5520.09
13,1,5521.05
13,1,5521.63
13,1,5522.62
13,1,5523.18
13,1,5523.25
13,1,5523.32
13,1,5523.65
13,1,5523.95
13,1,5524.31
13,1,5525.24
13,1,5525.71
13,1,5525.72
13,1,5525.89
13,1,5525.92
13,1,5526.69
13,1,5527.26
13,1,5527.94
13,1,5528.45
13,1,5528.57
13,1,5529.02
13,1,5529.07
13,1,5529.21
13,1,5530.73
13,1,5530.80
13,1,5531.59
13,1,5532.11
13,1,5532.69
13,1,5533.35
13,1,5533.54
13,1,5533.93
13,1,5534.19
13,1,5534.53
13,1,5535.50
13,1,5535.57
13,1,5535.83
13,1,5536.59
13,1,5537.44
13,1,5537.96
13,1,5538.58
13,1,5538.76
13,1,5538.89
13,1,5539.05
13,1,5539.38
13,1,5540.00
13,1,5540.51
13,1,5541.15
13,1,5541.19
13,1,5541.80
13,1,5542.11
13,1,5542.24
13,1,5547.92
13,1,5548.17
13,1,5548.44
13,1,5548.55
13,1,5548.81
13,1,5549.47
13,1,5549.84
13,1,5549.96
13,1,5550.19
13,1,5551.09
13,1,5551.48
13,1,5551.50
13,1,5551.65
13,1,5551.94
13,1,5552.33
13,1,5552.62
13,1,5553.50
13,1,5554.03
13,1,5554.11
13,1,5554.39
13,1,5555.87
13,1,5557.27
13,1,5557.53
13,1,5557.55
13,1,5557.79
13,1,5558.18
13,1,5559.52
13,1,5559.68
13,1,5560.11
13,1,5560.87
13,1,5561.50
13,1,5562.10
13,1,5562.31
13,1,5562.86
13,1,5562.87
13,1,5565.06
13,1,5565.17
13,1,5565.78
13,1,5566.10
13,1,5566.73
13,1,5567.13
13,1,5567.24
13,1,5568.20
13,1,5570.09
13,1,5570.48
13,1,5571.01
13,1,5571.39
13,1,5571.44
13,1,5572.02
13,1,5572.21
13,1,5574.33
13,1,5574.73
13,1,5574.91
13,1,5575.71
13,1,5577.11
13,1,5577.23
13,1,5579.07
13,1,5580.15
13,1,5580.61
13,1,5580.68
13,1,5580.91
13,1,5581.07
13,1,5581.99
13,1,5582.88
13,1,5582.99
13,1,5583.08
13,1,5583.46
13,1,5584.61
13,1,5584.99
13,1,5585.85
13,1,5586.62
13,1,5586.99
13,1,5587.16
13,1,5587.53
13,1,5588.09
13,1,5588.49
13,1,5589.90
13,1,5589.93
13,1,5590.62
13,1,5590.65
13,1,5590.77
13,1,5591.05
13,1,5591.61
13,1,5591.76
13,1,5591.85
13,1,5592.30
13,1,5592.30
13,1,5592.45
13,1,5593.08
13,1,5593.52
13,1,5593.98
13,1,5594.39
13,1,5594.42
13,1,5594.44
13,1,5594.93
13,1,5595.21
13,1,5595.38
13,1,5595.79
13,1,5596.42
13,1,5596.62
13,1,5597.07
13,1,5597.63
13,1,5598.13
13,1,5598.36
13,1,5599.12
13,1,5599.29
13,1,5599.62
13,1,5600.36
13,1,5601.23
13,1,5602.09
13,1,5603.73
13,1,5604.49
13,1,5606.56
13,1,5606.91
13,1,5607.93
13,1,5608.58
13,1,5609.04
13,1,5610.47
13,1,5611.39
13,1,5611.78
13,1,5613.34
13,1,5613.36
13,1,5613.86
13,1,5614.81
13,1,5615.61
13,1,5617.59
13,1,5619.64
13,1,5620.95
13,1,5621.07
13,1,5621.11
13,1,5621.26
13,1,5621.74
13,1,5622.21
13,1,5622.82
13,1,5622.84
13,1,5623.18
13,1,5623.56
13,1,5624.20
13,1,5624.50
13,1,5624.51
13,1,5624.79
13,1,5625.21
13,1,5626.23
13,1,5626.25
13,1,5626.45
13,1,5626.81
13,1,5628.42
13,1,5629.16
13,1,5629.21
13,1,5631.47
13,1,5631.56
13,1,5631.97
13,1,5631.99
13,1,5632.69
13,1,5633.91
13,1,5634.09
13,1,5634.69
13,1,5635.42
13,1,5635.80
13,1,5635.88
13,1,5636.17
13,1,5636.37
13,1,5636.49
13,1,5637.11
13,1,5637.30
13,1,5637.56
13,1,5638.40
13,1,5640.01
13,1,5640.53
13,1,5641.51
13,1,5642.65
13,1,5643.08
13,1,5644.43
13,1,5644.44
13,1,5645.36
13,1,5645.78
13,1,5646.28
13,1,5646.34
13,1,5646.43
13,1,5647.42
13,1,5647.69
13,1,5648.09
13,1,5648.73
13,1,5649.31
13,1,5649.42
13,1,5650.83
13,1,5650.84
13,1,5650.86
13,1,5650.87
13,1,5651.17
13,1,5651.35
13,1,5651.98
13,1,5652.16
13,1,5652.48
13,1,5652.69
13,1,5653.24
13,1,5653.55
13,1,5653.59
13,1,5656.07
13,1,5656.52
13,1,5656.79
13,1,5656.90
13,1,5657.36
13,1,5657.71
13,1,5658.99
13,1,5659.02
13,1,5660.09
13,1,5660.86
13,1,5662.11
13,1,5663.36
13,1,5663.63
13,1,5663.83
13,1,5664.14
13,1,5664.59
13,1,5665.47
13,1,5667.39
13,1,5667.52
13,1,5667.58
13,1,5667.58
13,1,5668.09
13,1,5668.10
13,1,5668.29
13,1,5669.09
13,1,5670.02
13,1,5671.14
13,1,5671.82
13,1,5672.15
13,1,5672.93
13,1,5673.00
13,1,5673.26
13,1,5673.74
13,1,5673.87
13,1,5675.15
13,1,5676.55
13,1,5677.05
13,1,5677.19
13,1,5678.43
13,1,5678.80
13,1,5679.51
13,1,5679.84
13,1,5680.20
13,1,5680.97
13,1,5681.35
13,1,5681.37
13,1,5681.95
13,1,5682.02
13,1,5682.78
13,1,5683.06
13,1,5684.44
13,1,5685.26
13,1,5685.35
13,1,5685.39
13,1,5685.52
13,1,5686.16
13,1,5687.77
13,1,5687.81
13,1,5688.25
13,1,5689.02
13,1,5690.79
13,1,5690.87
13,1,5690.91
13,1,5691.12
13,1,5691.47
13,1,5691.47
13,1,5691.97
13,1,5693.26
13,1,5693.88
13,1,5693.94
13,1,5695.02
13,1,5695.03
13,1,5695.06
13,1,5695.26
13,1,5695.35
13,1,5695.88
13,1,5696.10
13,1,5696.27
13,1,5696.54
13,1,5696.86
13,1,5698.47
13,1,5698.55
13,1,5698.60
13,1,5698.71
13,1,5698.79
13,1,5699.09
13,1,5699.53
13,1,5700.57
13,1,5701.23
13,1,5701.94
13,1,5702.49
13,1,5702.78
13,1,5702.85
13,1,5702.89
13,1,5702.98
13,1,5703.33
13,1,5704.12
13,1,5704.45
13,1,5704.90
13,1,5706.25
13,1,5706.50
13,1,5706.97
13,1,5707.19
13,1,5707.63
13,1,5708.21
13,1,5708.59
13,1,5709.73
13,1,5709.81
13,1,5710.03
13,1,5710.04
13,1,5710.36
13,1,5710.85
13,1,5710.92
13,1,5711.37
13,1,5713.50
13,1,5714.32
13,1,5714.54
13,1,5715.07
13,1,5716.32
13,1,5716.91
13,1,5717.44
13,1,5717.98
13,1,5717.99
13,1,5719.17
13,1,5719.39
13,1,5720.72
13,1,5722.23
13,1,5722.85
13,1,5723.03
13,1,5723.84
13,1,5724.23
13,1,5724.58
13,1,5724.79
13,1,5725.32
13,1,5725.50
13,1,5725.61
13,1,5725.65
13,1,5726.17
13,1,5726.64
13,1,5726.68
13,1,5726.80
13,1,5727.03
13,1,5727.10
13,1,5727.14
13,1,5727.29
13,1,5727.83
13,1,5728.91
13,1,5729.78
13,1,5730.57
13,1,5731.78
13,1,5732.46
13,1,5732.79
13,1,5732.88
13,1,5733.57
13,1,5734.25
13,1,5734.66
13,1,5734.73
13,1,5735.08
13,1,5735.16
13,1,5735.37
13,1,5735.73
13,1,5736.37
13,1,5737.31
13,1,5737.35
13,1,5737.57
13,1,5738.12
13,1,5738.23
13,1,5738.36
13,1,5738.48
13,1,5738.93
13,1,5739.19
13,1,5739.34
13,1,5740.24
13,1,5741.12
13,1,5742.47
13,1,5742.84
13,1,5742.86
13,1,5743.25
13,1,5744.27
13,1,5744.30
13,1,5744.31
13,1,5745.48
13,1,5745.73
13,1,5746.00
13,1,5746.54
13,1,5747.24
13,1,5747.28
13,1,5747.60
13,1,5748.10
13,1,5748.39
13,1,5749.23
13,1,5749.42
13,1,5749.79
13,1,5750.92
13,1,5751.28
13,1,5751.41
13,1,5751.61
13,1,5751.66
13,1,5752.37
13,1,5753.25
13,1,5753.28
13,1,5753.54
13,1,5755.05
13,1,5755.66
13,1,5755.71
13,1,5755.89
13,1,5756.15
13,1,5756.29
13,1,5757.49
13,1,5757.66
13,1,5758.44
13,1,5758.63
13,1,5759.46
13,1,5760.39
13,1,5760.65
13,1,5761.00
13,1,5761.57
13,1,5762.06
13,1,5762.16
13,1,5762.29
13,1,5762.66
13,1,5763.49
13,1,5763.55
13,1,5764.55
13,1,5764.97
13,1,5764.97
13,1,5765.36
13,1,5765.77
13,1,5766.28
13,1,5766.35
13,1,5767.33
13,1,5768.35
13,1,5770.28
13,1,5770.46
13,1,5771.06
13,1,5771.21
13,1,5771.63
13,1,5771.69
13,1,5772.36
13,1,5772.80
13,1,5773.91
13,1,5774.35
13,1,5774.80
13,1,5774.81
13,1,5774.85
13,1,5775.44
13,1,5775.57
13,1,5776.66
13,1,5776.68
13,1,5777.88
13,1,5778.35
13,1,5779.89
13,1,5780.77
13,1,5780.81
13,1,5781.48
13,1,5781.71
13,1,5781.88
13,1,5782.12
13,1,5782.30
13,1,5782.58
13,1,5782.90
13,1,5783.40
13,1,5785.22
13,1,5787.89
13,1,5788.26
13,1,5789.52
13,1,5789.89
13,1,5790.49
13,1,5791.62
13,1,5792.02
13,1,5792.11
13,1,5793.72
13,1,5796.18
13,1,5796.30
13,1,5796.35
13,1,5796.74
13,1,5797.23
13,1,5797.52
13,1,5797.83
13,1,5798.30
13,1,5798.50
13,1,5798.56
13,1,5798.75
13,1,5798.80
13,1,5798.80
13,1,5799.00
13,1,5799.88
13,1,5799.95
13,1,5800.54
13,1,5800.55
13,1,5800.60
13,1,5800.85
13,1,5800.86
13,1,5801.42
13,1,5801.96
13,1,5802.06
13,1,5802.41
13,1,5802.89
13,1,5804.66
13,1,5805.59
13,1,5805.75
13,1,5805.97
13,1,5806.04
13,1,5806.25
13,1,5806.51
13,1,5806.86
13,1,5807.81
13,1,5808.46
13,1,5808.64
13,1,5808.85
13,1,5809.32
13,1,5810.05
13,1,5810.25
13,1,5810.71
13,1,5810.96
13,1,5811.74
13,1,5812.26
13,1,5813.43
13,1,5816.64
13,1,5817.94
13,1,5818.12
13,1,5818.53
13,1,5818.90
13,1,5818.94
13,1,5819.19
13,1,5820.11
13,1,5820.16
13,1,5822.81
13,1,5822.89
13,1,5823.67
13,1,5824.30
13,1,5824.32
13,1,5824.67
13,1,5825.27
13,1,5826.22
13,1,5827.13
13,1,5827.53
13,1,5827.60
13,1,5828.92
13,1,5829.66
13,1,5831.15
13,1,5831.55
13,1,5831.88
13,1,5833.01
13,1,5834.01
13,1,5834.27
13,1,5834.98
13,1,5835.02
13,1,5835.40
13,1,5835.58
13,1,5836.35
13,1,5837.05
13,1,5837.70
13,1,5838.34
13,1,5838.54
13,1,5838.91
13,1,5839.81
13,1,5840.34
13,1,5840.86
13,1,5841.30
13,1,5843.05
13,1,5843.13
13,1,5843.35
13,1,5843.88
13,1,5843.92
13,1,5844.27
13,1,5845.22
13,1,5845.86
13,1,5846.44
13,1,5846.70
13,1,5846.79
13,1,5847.03
13,1,5847.35
13,1,5847.38
13,1,5847.41
13,1,5847.43
13,1,5848.65
