s_acctbal,s_name,n_name,p_partkey,p_mfgr,s_address,s_phone,s_comment
9968.96,Supplier#000085431,ROMANIA,1885430,Manufacturer#4,1hhUdxO7AVH,29-402-887-2528," boost furiously blithely quiet requests. ironic, ironic instructions haggle slowly. ironic, un"
9967.60,Supplier#000028837,ROMANIA,1828836,Manufacturer#4,gAaNbDxVTyFjjhgGodAKyy9uk,29-105-576-2294,hins must have to haggle blithely along
9966.67,Supplier#000030306,UNITED KINGDOM,1280281,Manufacturer#3,y2Pslsn3B1KRWYKtcwMMcOzYZUel4ox5Rzp,33-758-232-4917,lyly special packages around the
9964.25,Supplier#000096253,ROMANIA,1733919,Manufacturer#4,zathOWfV1IK DCgsh5goxZ oCC,29-411-331-9917,arefully regular requests
9962.57,Supplier#000034645,ROMANIA,759624,Manufacturer#2,eX2phCtgj8wVd8U7oWYs6bQOayC,29-629-100-1429,uests sleep carefully besides the patterns. carefully regular forges
9957.83,Supplier#000012588,ROMANIA,12587,Manufacturer#1,8cRzJOxCG7z qpfkXKgrQs6ubfOTK,29-373-772-7126,uriously ironic platelets nag. slyly bold instructions haggle furiously fluffil
9956.67,Supplier#000074260,FRANCE,124257,Manufacturer#2,"W83 2W,pP8sFtnVxjOJC1a7zO5",16-511-538-8136,yly ironic ideas try to are! final platelets above the final
9944.02,Supplier#000010019,ROMANIA,1810018,Manufacturer#4,"6fy8i iDm,kCwJfaiNRZtVWeAtrLnQT",29-695-919-1392,y regular excuses are blithely special theodolites. final excuses sleep
9942.90,Supplier#000019177,GERMANY,494172,Manufacturer#5,TUINeTTQPDi7DOcYue,17-316-670-1231,s wake furiously according to the depths. slyly express 
9939.40,Supplier#000028113,RUSSIA,428112,Manufacturer#2,HrnOoqKBep02Dvafwz9SHIzaJWlL,32-938-722-6528,"ideas. ruthlessly ironic accounts should are slyly special, regular pla"
9938.69,Supplier#000048337,RUSSIA,1448336,Manufacturer#5,tXGAix6fSBfdQuOu4BBAQDsnVsCzxzFK8g1,32-566-156-5537,ular pinto beans. slyly express theodolites sleep blithely
9938.53,Supplier#000005359,UNITED KINGDOM,1205358,Manufacturer#1,"QKuHYh,vZGiwu2FWEJoLDx04",33-429-790-6131,uriously regular requests hag
9937.84,Supplier#000005969,ROMANIA,1878109,Manufacturer#1,"ANDENSOSmk,miq23Xfb5RWt6dvUcvt6Qa",29-520-692-3537,efully express instructions. regular requests against the slyly fin
9937.53,Supplier#000042994,GERMANY,1442993,Manufacturer#3,"Q,AdU5BqQwPC2rGbrydanSbbEU6PoTPf",17-429-634-1843,aggle carefully along the quickly even
9937.53,Supplier#000042994,GERMANY,1667944,Manufacturer#3,"Q,AdU5BqQwPC2rGbrydanSbbEU6PoTPf",17-429-634-1843,aggle carefully along the quickly even
9936.00,Supplier#000042253,ROMANIA,142252,Manufacturer#4,r9uqFbAWydd4tcgzcS RI Y,29-148-772-1827,lar packages haggle. blithely ir
9933.50,Supplier#000066121,GERMANY,1816084,Manufacturer#3,"tCt ,OKzt0KSqmiHRuFYJkEcvKTZSMGx z B",17-350-506-5790,"re slyly ironic, regular requests. even, regular request"
9932.47,Supplier#000068671,UNITED KINGDOM,568670,Manufacturer#1,KxbfreN6sK oIUYlebYYCDveczKvlNjPZ2GBZmZ,33-345-114-7234," final foxes sleep carefully. final, ironic pinto beans after the special deposits h"
9932.47,Supplier#000068671,UNITED KINGDOM,1640820,Manufacturer#2,KxbfreN6sK oIUYlebYYCDveczKvlNjPZ2GBZmZ,33-345-114-7234," final foxes sleep carefully. final, ironic pinto beans after the special deposits h"
9931.65,Supplier#000087957,RUSSIA,1560106,Manufacturer#2,NGnaqR9EhpuPmeDdZEaiUEckHnfc7HWP,32-223-673-7656,t courts wake slyly bold accounts. bold packag
9925.04,Supplier#000003400,ROMANIA,481190,Manufacturer#3,IZSzKpRL1RNar39LvF,29-295-531-2833,unts along the ironic accounts must have to haggle carefully
9918.88,Supplier#000082683,UNITED KINGDOM,1932644,Manufacturer#1,RR7y  BiYXqJaw,33-114-482-3385,nding instructions along the blithely regular ideas affix according to the ironic requests. careful
9915.38,Supplier#000006085,ROMANIA,1506084,Manufacturer#5,T3Ju68MUhIb2hpTO3f8OGG,29-528-113-9241,iously bold sauternes. slyly regular asymptotes
9911.78,Supplier#000020832,UNITED KINGDOM,745809,Manufacturer#3,"d,NJrx NfuTgiE43A9WQbyvg0DL29GB",33-413-852-3873,l accounts snooze blithely. requests according to th
9909.28,Supplier#000066602,GERMANY,144402,Manufacturer#2,"HK9pwZa9eIhUuatBkdSGzqobKxSwTlI h,GoXX",17-803-997-4487,ideas are slyly final ideas. quickly ironic 
9909.28,Supplier#000066602,GERMANY,1341588,Manufacturer#2,"HK9pwZa9eIhUuatBkdSGzqobKxSwTlI h,GoXX",17-803-997-4487,ideas are slyly final ideas. quickly ironic 
9902.07,Supplier#000075736,RUSSIA,650729,Manufacturer#2,2AtAHp8CVxxvbVBEv0wTjQNxtS99HlJ,32-923-189-5079,oxes wake furiously carefully final foxes. slyly
9898.61,Supplier#000059419,FRANCE,1509388,Manufacturer#2,Czn 4yp4BFP3cdO9KVpcEVKfF4,16-660-798-1130,y regular accounts. quickly dogged Tiresias across the blithely pending theodolit
9897.41,Supplier#000017795,UNITED KINGDOM,667782,Manufacturer#5,"A5a1lovY,yQoSHaYon5cGgo1l",33-398-227-1033, express accounts haggle blithely. furiously ironic requests cajole quickly. quickly final fo
9894.12,Supplier#000052147,FRANCE,677129,Manufacturer#1,"Glos4JhvWTfQzieScI,Gbj9SB9V8GrF3pLtm",16-972-654-3023,arefully regular accounts
9892.10,Supplier#000042566,RUSSIA,992547,Manufacturer#2,bpLCiCVwl6uxYR,32-550-577-4769,inal platelets against the requests detect according to the carefully express in
9892.10,Supplier#000042566,RUSSIA,1217553,Manufacturer#5,bpLCiCVwl6uxYR,32-550-577-4769,inal platelets against the requests detect according to the carefully express in
9884.84,Supplier#000082184,UNITED KINGDOM,1854324,Manufacturer#4,2UNwl4Atkn,33-406-348-8224,ual dependencies try to sleep furiously inside the quickly spe
9884.20,Supplier#000068361,GERMANY,1968360,Manufacturer#2,MRev0hTbR9Y5xEPUZxM28,17-385-307-2876,gular asymptotes sleep slyly
9880.10,Supplier#000042667,GERMANY,817658,Manufacturer#5,4fQZB7L5eZDVs,17-847-751-8418,ly final packages alongside of the unus
9878.75,Supplier#000028803,RUSSIA,1478774,Manufacturer#1,f1mPa2ts2TUCbZ9UVmuDuu2lXLgfYTP,32-220-759-7420,y final accounts. blithely silent deposits doubt blithely. carefully pending ide
9874.90,Supplier#000040624,GERMANY,140623,Manufacturer#1,4S0T3NXSEFH2VzqIwkvbItm3eFFe0iWpwbV19SFz,17-233-896-4431, haggle closely across the slyly fluf
9873.94,Supplier#000016424,RUSSIA,966405,Manufacturer#5,uq1NWlLbhdJNZArm3,32-605-116-3927, the ironic instructions. blithely ironic accounts are slyly. fluffily unusual excuses after the re
9873.90,Supplier#000058391,GERMANY,508380,Manufacturer#3,"FA 45I,q ODAcIxWEE4 Gb,m1p5eFW2sCoclCLs",17-311-740-7234,"al, regular platelets. ironic deposits haggle slyly against the bo"
9872.81,Supplier#000097316,ROMANIA,272313,Manufacturer#4,cJ7G0pfLTWOAp4QFtksmmGR1CTCI,29-726-802-1880,ts sleep fluffily. carefully regular deposits alongside o
9871.22,Supplier#000006373,GERMANY,556362,Manufacturer#5,J8fcXWsTqM,17-813-485-8637,etect blithely bold asymptotes. fluffily ironic platelets wake furiously; blit
9870.58,Supplier#000027835,ROMANIA,1977796,Manufacturer#3,"rQNlJWtDotXE8GK5FXID,jbkVsRFB87ZUZyK",29-103-673-6501,heodolites. regular packages cajole. 
9869.98,Supplier#000081446,FRANCE,556440,Manufacturer#1,xQnnVgu PfVo,16-912-320-8438,nal dependencies. pinto beans 
9869.66,Supplier#000016553,ROMANIA,291550,Manufacturer#4,MBv6xbbVlLii9w9b5uBo,29-212-862-7077,eposits sleep pinto beans. deposits eat ironically. carefully silent courts against the slyly silent
9868.44,Supplier#000062507,ROMANIA,1862506,Manufacturer#5,1dePPGFWYYK,29-895-360-4525,"ependencies solve slyly. slyly unusual accounts detect blithe, express requests. furiously "
9866.72,Supplier#000010268,ROMANIA,1910267,Manufacturer#3,IIRDDdhpT08DLOpyZSBCot3Rh,29-986-591-5398,"ly special packages cajole blithely about the ironic, unusual accounts. ironic, iro"
9865.69,Supplier#000011713,ROMANIA,511712,Manufacturer#1,z21Y9930sRTsTgOIo omLTfWderX82DVdPVsgs,29-368-999-1073,ccounts haggle quickly. blithely even accounts boost according to the blithely express pack
9859.93,Supplier#000052771,ROMANIA,602758,Manufacturer#5,rdFyHz5FV1FCi2jmFFCZAPlPyH xevioB,29-926-286-5299,among the packages cajole carefully ironic dugouts. fluffily final pinto b
9856.43,Supplier#000045738,UNITED KINGDOM,645737,Manufacturer#3,qd7jaGTfaxX Fhamq84AagYXv3IqU0oIEjBC,33-394-523-3413,es. fluffy deposits run caref
9852.52,Supplier#000008973,RUSSIA,483968,Manufacturer#3,"t5L67YdBYYH6o,Vz24jpDyQ9",32-188-594-7038,rns wake final foxes. carefully unusual depende
9850.90,Supplier#000066053,UNITED KINGDOM,441048,Manufacturer#1,"C,IWe7RpG WHdg2ZS",33-766-582-8615," final, ironic requests cajole fluffily blithely reg"
9850.90,Supplier#000066053,UNITED KINGDOM,916034,Manufacturer#3,"C,IWe7RpG WHdg2ZS",33-766-582-8615," final, ironic requests cajole fluffily blithely reg"
9850.15,Supplier#000062925,FRANCE,512914,Manufacturer#2,"aXKdkhctDBlg,",16-757-400-1683,its. blithely regular platelets outside the slyly iro
9850.15,Supplier#000062925,FRANCE,1287889,Manufacturer#1,"aXKdkhctDBlg,",16-757-400-1683,its. blithely regular platelets outside the slyly iro
9849.09,Supplier#000034097,FRANCE,609090,Manufacturer#1,PRUY1riC CmZl90q0AEl,16-172-883-1928,ounts. blithely busy requests affix about the final requests. blithely regular accounts use aga
9849.06,Supplier#000021254,GERMANY,1796236,Manufacturer#5,"9Q,ItS4plqXR7HCHkG3Pkm5BM",17-623-110-6693," dogged requests wake furiously. regular, r"
9848.73,Supplier#000091096,UNITED KINGDOM,1566080,Manufacturer#3,"jmrZln1W,XSTx Rbwq,N1eR8",33-848-379-3222,o the quickly pending excuses; dependencie
9846.72,Supplier#000062848,UNITED KINGDOM,1937828,Manufacturer#1,"X,xtORbtbgOKftLdqgigKBdjFQgPprW,GG",33-325-481-7818,among the carefully special deposits. deposits shall detect regular packages. bold packages cajol
9837.70,Supplier#000010301,ROMANIA,1022553,Manufacturer#1,naAcnka2ODinvXM9rqg4W,29-919-526-7202," fluffily; regular, even packages solve furiously special reques"
9837.53,Supplier#000005414,RUSSIA,1905413,Manufacturer#3,yDLmG4bxYA1iviZ71PkEtzcDoB0KT,32-204-830-9105,y through the fluffily ruthless platelets; furiously si
9822.22,Supplier#000003440,UNITED KINGDOM,1978420,Manufacturer#2,"93S5pntmWhw R6U4ZD ROQ,2gI17b3",33-495-208-7899,ake carefully after the fluffily re
9821.49,Supplier#000081219,RUSSIA,1406177,Manufacturer#3,"UTg6hxwaY3WZuiOTtt6W5jg tq,0PrC",32-525-511-3618,ironic foxes about the furiously pen
9818.98,Supplier#000060094,GERMANY,1110071,Manufacturer#4,P8CrJmDT2lihE,17-293-298-6268,nt ideas along the quickly express theodolites doze slyly quickly careful pinto
9814.50,Supplier#000019945,ROMANIA,894936,Manufacturer#1," Y6YcWcdK31rTOxGAYA,oZKgaoyzBPgQ",29-732-301-5529, blithely fluffy packages. sl
9809.61,Supplier#000021925,GERMANY,199723,Manufacturer#3,"nWbOQ60h1lvfJn,jhyLJeMGSbiA67",17-828-976-5749, furiously above the blithely b
9809.61,Supplier#000021925,GERMANY,971906,Manufacturer#1,"nWbOQ60h1lvfJn,jhyLJeMGSbiA67",17-828-976-5749, furiously above the blithely b
9809.56,Supplier#000078281,FRANCE,778280,Manufacturer#4,a5zMC6gsO4eu40xEGompp9EG5Bcv2,16-497-471-5554,ar deposits snooze quickly furiou
9808.25,Supplier#000012649,ROMANIA,1162626,Manufacturer#1,MdUWGpibJY uamEuhvpWzgyzyDn Uxl8QYkdCqbU,29-622-551-4334,he regular pinto beans are fluffily since the u
9807.53,Supplier#000000437,GERMANY,1000436,Manufacturer#1,"HuqIk0sK4yC6x5be,cTlPrFqqBCHYf",17-652-134-3031,usly bold deposits about the pending
9805.18,Supplier#000076932,UNITED KINGDOM,1501887,Manufacturer#4,0icOvXW9uXl2r3jBXZ,33-565-256-8718,ges wake blithely according to the requests. quickly regular tithes sleep
9801.15,Supplier#000089681,RUSSIA,1339654,Manufacturer#5,xBuy1Gwgi5s0LIYoP2qU7Y7qBu1ZumPkLMufsB,32-947-140-8833,ly! quickly express theodolites nag slyly
9797.98,Supplier#000012862,ROMANIA,1585011,Manufacturer#2,ernH0nPDW2r3asW7,29-269-207-4912,er the blithely special accounts. quickly express account
9793.99,Supplier#000020982,ROMANIA,170979,Manufacturer#4,sJZSIUlkU7lQXctqmnWO5IXLF,29-164-384-7339,ts are along the furiously regular deposits. reg
9793.99,Supplier#000020982,ROMANIA,1095971,Manufacturer#4,sJZSIUlkU7lQXctqmnWO5IXLF,29-164-384-7339,ts are along the furiously regular deposits. reg
9789.61,Supplier#000034881,GERMANY,284876,Manufacturer#4,Vc3Dnx0Mwm05YAR,17-237-600-1480,ependencies above the regular packages nag blithel
9788.73,Supplier#000083261,FRANCE,1258248,Manufacturer#4,"1eof4IF4xyXiEgrc,FcLV7SHf",16-653-115-5484,to beans. quickly even dolphins are. requests sl
9786.78,Supplier#000079837,RUSSIA,654830,Manufacturer#4, DvX3s7hn3naPf,32-510-789-6129,riously against the ironic accounts. slyly eve
9779.65,Supplier#000017125,UNITED KINGDOM,94925,Manufacturer#3,wjR6dOcSu1xxYMfcZFj97hKUcs,33-473-269-4808,ly about the slyly pending ide
9777.85,Supplier#000044409,GERMANY,1419394,Manufacturer#5,ihO3vpaZcvYCpo71g9Mo8BbPh8w,17-739-859-5666,ress accounts nag against the fluffily unusual requests. bold
9777.75,Supplier#000030124,RUSSIA,1680091,Manufacturer#2,"vQT4tgo EJSFpgBqp35tVK1,p3n8 Rv",32-554-818-8924,ounts sleep slyly above the regular dolphins! regular excuses sleep daringly 
9777.60,Supplier#000039017,UNITED KINGDOM,1188994,Manufacturer#3,"JXisDqw4Put4nbXRjinbDql9gVo,m3ECxwaXeI",33-324-389-9325,uriously final asymptotes believe furiously
9768.24,Supplier#000023215,UNITED KINGDOM,848191,Manufacturer#5,pMFvabGcp21kpf,33-558-943-5497,uses. pending theodolites wake careful
9767.32,Supplier#000073781,FRANCE,1823744,Manufacturer#4,LWLjymYpnPf1VxJkBpbausoKS2RpXWVZWBOD,16-282-344-5601,"nstructions haggle after the express, express courts. fluffily ironic foxes according t"
9766.22,Supplier#000066352,GERMANY,1516321,Manufacturer#3,ZcFNrwzNDkzf7PzdO0,17-427-880-3444,e of the regular foxes. ironic d
9761.50,Supplier#000030892,ROMANIA,530891,Manufacturer#2,"n9d7IZcid,SD9CU7O6koS",29-243-177-2147,ic theodolites haggle! packages use fluff
9760.09,Supplier#000043108,UNITED KINGDOM,418103,Manufacturer#5,Z2vAsQr1XStCLsOX,33-759-248-1760,gular accounts. final requests nod carefully s
9760.09,Supplier#000043108,UNITED KINGDOM,1543107,Manufacturer#3,Z2vAsQr1XStCLsOX,33-759-248-1760,gular accounts. final requests nod carefully s
9759.04,Supplier#000005824,ROMANIA,1255799,Manufacturer#5,Hbo853nz6rQ5RKlDaO,29-320-222-4934,leep fluffily? furiously regular deposits according to the pinto beans nag carefully above the slyly
9752.12,Supplier#000052758,RUSSIA,1627741,Manufacturer#3, TIYaQ5tsl0a rz68WOr,32-252-321-9152,efully final excuses around the platelets are fluffily furiously pending gifts. foxes detect al
